rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
8,4,2,5,3,1,7,6,1.0,8.0
7,2,5,6,1,4,3,8,,
7,1,2,6,8,4,3,5,,
8,4,5,3,7,6,2,1,,
8,3,5,4,7,1,6,2,,
7,6,3,4,8,1,2,5,,
1,6,3,7,4,5,2,8,,
1,8,5,6,2,4,3,7,,
8,7,5,4,1,6,3,2,,
6,5,2,3,8,4,7,1,,
6,2,5,3,8,4,7,1,,
8,3,2,6,8,5,1,4,,
2,6,1,8,4,5,7,3,,
8,4,5,2,7,3,6,1,,
7,4,6,3,8,5,2,1,,
8,8,8,3,8,2,8,1,,
8,8,8,1,8,8,8,1,,
8,8,8,8,8,8,1,8,,
8,6,3,4,7,5,2,1,,
7,4,3,6,8,2,1,5,,
8,8,8,1,8,8,8,8,,
3,1,8,8,5,2,8,4,,
1,8,2,8,8,8,8,8,,
5,2,3,7,1,4,6,8,,
5,8,4,1,2,7,6,3,,
5,1,6,7,4,3,2,8,,
6,7,4,5,8,3,1,2,,
8,8,8,8,4,3,6,1,,
8,8,8,8,8,8,8,1,,
3,8,2,1,5,8,6,4,,
7,4,6,1,8,3,5,2,,
8,2,5,6,8,3,4,1,,
8,5,3,2,6,4,7,1,,
3,5,6,7,4,1,2,8,,
7,6,4,3,2,5,8,1,,
8,6,3,4,7,1,5,2,,
