rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
11,6,4,7,2,9,10,3,15,12,16,1,14,5,8,13,1.0,16.0
14,6,3,5,2,12,8,10,1,7,11,4,16,15,9,13,,
12,6,5,4,11,7,16,13,3,1,14,8,15,10,9,2,,
16,9,8,1,6,11,14,13,2,10,4,3,16,5,7,12,,
6,11,5,1,15,9,14,7,2,10,8,3,13,16,11,4,,
15,4,3,5,2,6,13,16,1,9,10,8,14,12,7,11,,
15,1,4,12,10,3,5,14,13,2,9,11,16,7,8,6,,
16,11,10,5,1,8,16,16,4,16,7,2,16,6,9,16,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
9,1,1,1,1,1,11,5,1,3,1,5,11,3,1,1,,
16,3,11,5,4,10,15,12,1,14,7,2,9,6,8,13,,
11,3,5,8,2,14,16,12,4,13,10,1,15,6,7,9,,
7,9,5,2,1,15,13,16,3,10,8,4,6,11,14,12,,
15,3,9,2,5,12,7,16,1,6,14,13,8,10,4,11,,
6,2,1,5,9,7,4,8,12,10,3,15,16,13,14,11,,
4,4,8,6,7,3,10,16,1,15,9,11,14,13,2,12,,
12,10,14,1,13,6,2,11,16,16,3,9,7,5,8,4,,
16,3,9,4,1,7,8,12,2,14,5,10,13,11,6,15,,
16,4,9,6,1,14,3,15,7,12,10,11,8,2,5,13,,
7,4,8,1,14,9,3,12,10,11,6,2,13,15,5,16,,
12,11,2,1,15,5,7,14,4,3,10,8,9,6,13,16,,
14,8,11,3,12,16,4,2,7,1,9,13,5,15,6,10,,
5,4,10,12,13,7,16,15,6,1,2,3,14,11,9,8,,
14,6,11,15,2,7,3,16,8,13,1,10,12,9,4,5,,
14,12,5,16,11,10,13,9,7,2,1,3,16,6,8,4,,
16,3,10,2,4,12,8,11,5,9,13,1,15,6,7,14,,
13,3,2,5,15,8,12,16,9,6,10,1,14,7,11,4,,
14,4,13,1,7,9,12,6,5,3,8,2,16,11,10,15,,
11,9,2,12,1,7,5,5,3,6,4,2,10,8,3,4,,
16,8,6,1,5,11,12,14,3,15,9,2,13,10,4,7,,
15,12,5,3,1,10,2,8,13,4,9,6,16,7,11,14,,
15,9,14,5,2,7,11,16,1,13,8,6,12,4,3,10,,
15,9,3,4,5,11,14,16,1,7,10,2,12,13,6,8,,
