rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,numSeats,numCands
8,30,10,20,17,30,17,21,30,30,18,4,30,22,6,7,23,17,17,24,17,25,5,3,9,19,30,2,12,1,1.0,30.0
30,30,1,30,30,30,30,30,30,30,30,30,30,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2,3,,
30,30,30,30,30,30,30,30,30,30,30,30,1,30,30,30,30,30,1,30,1,30,1,30,30,30,30,30,30,30,,
30,4,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,3,30,30,30,30,30,30,30,30,2,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,30,30,30,30,28,29,,
12,19,19,19,1,13,20,14,12,28,26,22,12,24,23,19,7,27,6,25,12,29,5,24,12,2,4,3,19,30,,
30,30,5,30,6,2,30,30,30,4,30,30,30,1,30,30,30,30,30,30,30,30,30,3,30,30,30,7,30,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,2,6,30,30,3,30,30,30,4,1,30,,
30,30,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,30,30,30,4,30,2,,
30,2,30,3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4,30,30,30,30,30,30,1,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4,30,5,30,30,2,30,5,30,30,3,1,,
30,30,30,30,30,30,30,30,30,30,30,30,30,2,30,30,1,30,30,30,3,30,30,30,30,30,30,30,30,30,,
30,30,30,30,30,30,30,30,11,4,30,30,30,6,30,30,30,5,30,30,30,4,30,30,30,30,1,3,7,2,,
5,30,4,10,1,9,30,30,30,30,30,30,30,6,7,30,11,30,8,2,30,30,30,30,30,30,30,30,30,3,,
18,8,18,18,18,27,4,18,29,28,25,25,30,25,25,2,18,25,7,25,26,18,3,18,25,25,18,5,1,6,,
30,30,30,30,30,30,30,30,30,2,30,3,30,30,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,,
30,30,30,30,30,30,30,3,30,30,30,30,30,30,30,30,3,4,30,30,30,4,30,2,30,30,30,2,1,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,30,30,30,30,30,30,30,30,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,2,,
30,30,7,20,5,30,30,30,30,30,30,20,30,30,30,6,30,4,30,30,30,30,20,1,30,3,30,30,2,30,,
29,29,10,6,2,29,19,4,19,19,7,1,30,19,19,19,20,19,29,29,3,9,29,29,19,8,11,5,29,29,,
30,30,4,30,30,5,30,30,30,30,30,30,30,30,30,30,2,30,30,30,30,6,30,30,30,3,30,7,1,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2,30,30,30,1,30,30,30,3,30,30,,
24,21,5,26,18,22,19,25,10,14,29,23,17,8,12,7,27,20,13,28,4,15,16,3,9,6,30,11,2,1,,
30,30,30,30,30,30,30,30,30,30,30,30,30,2,30,2,30,30,3,30,30,30,2,30,30,30,30,30,30,1,,
30,9,30,13,1,30,2,30,30,30,7,5,30,30,10,3,30,11,12,30,6,30,30,30,30,4,30,8,30,30,,
30,6,30,3,5,30,30,30,30,30,30,30,30,30,30,30,2,30,30,30,30,30,30,30,30,30,30,4,1,30,,
30,30,30,30,30,30,30,30,30,30,30,30,15,30,30,30,30,2,30,30,7,30,30,3,1,14,30,30,30,30,,
30,30,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30,3,2,30,30,5,30,30,30,4,30,30,30,30,,
30,30,30,5,30,30,30,30,30,30,30,30,30,30,1,30,30,2,3,30,30,30,30,30,30,30,30,30,30,30,,
30,30,3,4,30,30,30,30,30,30,30,5,30,30,2,30,30,30,30,30,30,30,30,6,30,30,30,30,30,1,,
28,28,28,6,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,30,28,5,1,29,28,3,28,4,7,,
