rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
1,5,4,2,3,6,7,1.0,7.0
3,4,7,1,5,2,6,,
4,2,5,1,7,3,6,,
7,7,7,1,7,7,7,,
4,5,7,3,2,6,1,,
1,7,4,3,6,5,2,,
7,7,7,1,7,2,7,,
5,2,4,1,6,3,7,,
3,7,5,2,1,4,6,,
4,5,3,1,6,2,7,,
7,2,4,1,3,5,6,,
4,6,5,1,7,2,3,,
3,7,5,1,2,6,4,,
7,7,7,1,7,7,7,,
2,6,4,3,7,5,1,,
2,5,6,1,7,3,4,,
5,6,4,1,7,2,3,,
1,5,7,3,4,2,6,,
2,3,7,1,7,7,7,,
6,4,5,1,2,3,7,,
5,6,2,3,4,7,1,,
3,7,7,1,7,4,2,,
2,7,4,1,7,7,3,,
2,7,7,1,7,3,7,,
2,6,4,1,5,3,7,,
7,7,7,7,1,7,7,,
5,2,6,1,7,4,3,,
2,7,6,1,3,4,5,,
5,3,6,1,4,2,7,,
4,2,5,1,7,3,6,,
3,4,5,1,7,2,7,,
4,3,6,1,5,2,7,,
2,7,4,1,6,3,5,,
2,6,5,1,7,3,4,,
7,7,7,2,1,7,7,,
2,7,7,1,5,7,3,,
3,5,6,1,7,4,2,,
2,7,6,1,3,5,4,,
2,3,4,1,7,5,6,,
