"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","Num Cands","Num Seats"
"4","22","19","27","9","16","26","13","23","12","8","24","18","14","17","15","21","10","6","20","1","7","11","5","2","25","3","27.0","1.0"
"4","27","6","16","10","2","12","9","18","13","14","1","15","3","5","20","17","11","8","19","7","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","27","25","20","3","18","19","15","9","26","2","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","27","11","1","5","16","12","19","10","8","13","14","2","9","6","3","15","4","7","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","24","6","18","26","15","14","12","3","16","21","11","20","27","19","17","13","8","4","5","9","22","7","23","2","skipped","nan","nan"
"7","2","12","1","5","16","26","23","3","15","19","27","6","9","11","25","20","8","13","17","10","22","14","24","4","18","21","nan","nan"
"27","15","19","9","12","13","14","6","16","11","5","18","7","8","2","17","3","20","4","1","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","27","8","2","3","7","6","12","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","1","14","10","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"22","20","23","11","5","15","24","26","21","1","19","27","16","4","17","25","2","3","12","14","18","9","7","13","8","10","6","nan","nan"
"26","7","20","27","25","5","21","9","14","17","23","1","10","22","19","8","2","18","6","24","3","15","13","12","16","11","4","nan","nan"
"26","5","12","27","10","8","4","6","1","2","7","3","13","9","25","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","1","14","27","25","2","13","11","6","8","10","5","3","24","22","7","12","16","15","17","4","9","20","19","26","21","23","nan","nan"
"15","1","27","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","15","27","19","20","10","7","1","8","12","2","14","17","6","9","24","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","3","1","15","21","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","27","3","2","8","4","5","16","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","6","25","27","23","9","12","10","15","7","4","11","17","18","22","13","2","19","5","20","3","14","1","8","16","26","24","nan","nan"
"27","10","3","5","2","4","7","1","6","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","21","14","22","7","5","25","15","18","13","1","26","8","3","27","11","2","12","6","19","17","4","9","23","20","24","16","nan","nan"
"27","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","18","3","14","23","24","6","15","7","26","25","13","16","19","12","11","22","4","1","8","20","10","27","17","2","skipped","nan","nan"
"24","3","20","8","15","9","13","5","12","6","17","27","4","1","23","14","2","19","25","22","16","26","7","21","10","18","11","nan","nan"
"2","18","9","1","15","7","12","26","19","16","22","27","24","8","5","20","23","4","10","14","21","25","11","13","3","17","6","nan","nan"
"9","14","2","12","13","7","10","17","16","8","5","3","11","6","1","15","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","9","27","10","4","6","3","11","14","2","1","17","8","20","7","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","24","27","2","8","5","3","21","10","22","26","9","11","25","20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","19","21","6","1","11","12","17","26","9","27","13","25","16","24","2","5","3","4","14","18","22","8","7","skipped","skipped","skipped","nan","nan"
"13","1","25","27","21","12","3","15","2","10","7","18","22","23","24","26","20","16","8","17","5","4","11","9","6","14","19","nan","nan"
"27","12","22","3","11","26","8","1","13","23","10","6","7","9","5","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","2","15","21","20","1","23","9","6","12","10","4","3","14","22","18","11","16","17","5","13","7","8","19","skipped","skipped","skipped","nan","nan"
"14","6","2","4","10","7","17","12","15","11","25","27","19","1","9","23","3","18","5","16","21","13","8","24","22","20","26","nan","nan"
"6","10","2","25","13","18","27","3","17","21","16","26","24","9","23","22","5","4","14","15","19","20","11","12","8","7","1","nan","nan"
"1","26","27","13","18","19","12","10","21","20","24","22","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","17","13","2","6","19","14","10","15","12","26","27","18","9","20","25","1","11","4","24","22","23","8","16","21","3","5","nan","nan"
"15","10","18","26","17","11","5","22","6","1","8","3","7","24","27","23","13","19","14","16","12","2","9","4","21","20","25","nan","nan"
"4","27","2","11","15","10","14","1","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","3","22","27","17","9","4","13","14","10","1","6","16","25","26","11","21","19","8","23","7","12","2","20","18","5","24","nan","nan"
"1","27","2","15","6","20","8","3","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","13","27","17","4","1","9","14","18","5","3","2","15","10","7","12","8","19","11","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","15","27","14","8","5","9","11","7","13","24","2","6","3","10","26","12","25","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","21","23","4","27","17","20","19","16","7","15","14","12","11","13","22","24","6","2","25","10","18","3","5","1","8","9","nan","nan"
"3","27","4","2","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","23","15","8","17","14","19","11","20","24","6","25","9","26","2","7","12","5","16","1","22","21","4","18","3","10","13","nan","nan"
"27","7","21","19","22","9","15","1","5","17","8","3","20","2","10","14","4","16","12","13","11","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","27","14","11","18","16","2","4","8","15","22","20","17","1","24","3","19","9","13","5","7","21","23","10","skipped","skipped","nan","nan"
"21","2","15","26","3","5","24","6","7","13","22","27","25","1","19","18","4","14","10","11","20","17","16","8","9","23","12","nan","nan"
"5","3","11","26","19","10","24","2","4","8","17","1","20","6","22","25","14","9","18","16","15","13","21","23","27","7","12","nan","nan"
