"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","Num Cands","Num Seats"
"7","17","12","8","6","5","3","11","9","2","4","14","13","18","1","10","skipped","skipped","18.0","1.0"
"12","14","7","8","13","9","2","15","4","6","1","11","16","18","3","17","10","5","nan","nan"
"18","1","2","4","6","7","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","11","12","8","4","6","15","2","13","16","17","7","9","14","10","1","18","nan","nan"
"9","10","11","7","5","3","8","4","1","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","14","11","4","5","7","10","12","2","16","1","3","13","8","17","9","6","15","nan","nan"
"18","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","9","10","17","13","3","4","7","5","12","6","15","14","18","2","11","16","1","nan","nan"
"9","10","7","12","11","14","5","13","2","3","6","15","17","16","8","18","4","1","nan","nan"
"11","8","10","7","18","17","3","14","4","9","1","13","16","12","6","15","2","skipped","nan","nan"
"10","18","8","3","7","6","5","2","9","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","12","16","10","15","7","1","14","6","5","8","3","11","18","13","9","4","2","nan","nan"
"11","10","13","14","15","5","2","16","6","8","4","3","17","12","9","7","1","skipped","nan","nan"
"8","4","9","2","5","1","7","10","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","7","4","8","1","9","2","6","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","15","11","4","18","9","3","10","8","1","7","6","12","17","14","13","5","2","nan","nan"
"12","9","6","7","17","14","8","15","10","4","2","5","16","18","11","13","3","1","nan","nan"
"10","4","15","17","8","6","1","5","11","18","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
