"rank1","rank2","rank3","rank4","rank5","rank6","rank7","Num Cands","Num Seats"
"1","4","7","3","6","2","5","7.0","Unknown"
"7","1","6","4","5","skipped","skipped","nan","Unknown"
"4","2","3","1","7","6","5","nan","Unknown"
"7","2","1","skipped","skipped","skipped","skipped","nan","Unknown"
"1","2","3","4","skipped","skipped","skipped","nan","Unknown"
"2","7","3","6","1","5","4","nan","Unknown"
"7","2","1","skipped","skipped","skipped","skipped","nan","Unknown"
"7","2","1","3","skipped","skipped","skipped","nan","Unknown"
"1","5","6","4","2","7","3","nan","Unknown"
"2","1","7","skipped","skipped","skipped","skipped","nan","Unknown"
"3","2","1","7","skipped","skipped","skipped","nan","Unknown"
"7","2","1","skipped","skipped","skipped","skipped","nan","Unknown"
"1","7","3","2","skipped","skipped","skipped","nan","Unknown"
"1","7","2","3","4","skipped","skipped","nan","Unknown"
"2","4","1","3","skipped","skipped","skipped","nan","Unknown"
"2","5","3","4","1","skipped","skipped","nan","Unknown"
"1","5","3","7","skipped","skipped","skipped","nan","Unknown"
"7","2","1","3","5","4","skipped","nan","Unknown"
"3","2","7","1","skipped","skipped","skipped","nan","Unknown"
"2","5","4","3","1","skipped","skipped","nan","Unknown"
"2","7","5","1","4","3","6","nan","Unknown"
"2","3","7","1","4","5","6","nan","Unknown"
"1","4","3","6","7","5","skipped","nan","Unknown"
"2","1","7","skipped","skipped","skipped","skipped","nan","Unknown"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"5","4","1","6","2","3","7","nan","Unknown"
"1","7","6","4","3","2","5","nan","Unknown"
"2","5","3","6","1","7","4","nan","Unknown"
"4","3","2","1","5","6","7","nan","Unknown"
"2","5","1","7","6","skipped","skipped","nan","Unknown"
"4","3","1","2","skipped","skipped","skipped","nan","Unknown"
"1","5","4","7","2","6","3","nan","Unknown"
"1","5","2","4","3","7","6","nan","Unknown"
"1","6","3","2","5","7","4","nan","Unknown"
"1","5","4","2","3","skipped","skipped","nan","Unknown"
"1","5","2","4","7","6","3","nan","Unknown"
"6","3","2","1","4","7","5","nan","Unknown"
"2","7","5","1","6","skipped","skipped","nan","Unknown"
"3","1","2","skipped","skipped","skipped","skipped","nan","Unknown"
"6","2","1","3","skipped","skipped","skipped","nan","Unknown"
"5","1","7","skipped","skipped","skipped","skipped","nan","Unknown"
"6","1","2","4","5","7","skipped","nan","Unknown"
"2","1","3","7","skipped","skipped","skipped","nan","Unknown"
"3","7","4","2","1","skipped","skipped","nan","Unknown"
"1","6","4","2","5","3","skipped","nan","Unknown"
"4","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","4","3","7","1","5","skipped","nan","Unknown"
"6","3","1","7","5","4","2","nan","Unknown"
"4","5","6","7","3","1","2","nan","Unknown"
"4","1","2","3","skipped","skipped","skipped","nan","Unknown"
"5","7","4","3","6","2","1","nan","Unknown"
"1","7","3","2","skipped","skipped","skipped","nan","Unknown"
"1","6","4","3","2","7","skipped","nan","Unknown"
"1","7","3","2","skipped","skipped","skipped","nan","Unknown"
"2","6","1","3","7","skipped","skipped","nan","Unknown"
"2","1","7","3","skipped","skipped","skipped","nan","Unknown"
"1","3","2","skipped","skipped","skipped","skipped","nan","Unknown"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","5","4","7","1","6","3","nan","Unknown"
"2","1","7","3","skipped","skipped","skipped","nan","Unknown"
"1","7","4","6","5","skipped","skipped","nan","Unknown"
"4","2","1","3","5","6","7","nan","Unknown"
"1","7","3","2","skipped","skipped","skipped","nan","Unknown"
"2","1","7","skipped","skipped","skipped","skipped","nan","Unknown"
"2","1","3","skipped","skipped","skipped","skipped","nan","Unknown"
"2","1","7","skipped","skipped","skipped","skipped","nan","Unknown"
"7","1","2","3","skipped","skipped","skipped","nan","Unknown"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"7","2","3","1","skipped","skipped","skipped","nan","Unknown"
"1","6","4","3","2","5","skipped","nan","Unknown"
"6","2","1","3","7","5","4","nan","Unknown"
"2","7","3","1","skipped","skipped","skipped","nan","Unknown"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"3","7","4","6","5","2","1","nan","Unknown"
"1","7","3","2","skipped","skipped","skipped","nan","Unknown"
"6","2","1","3","7","5","4","nan","Unknown"
"7","1","6","4","5","skipped","skipped","nan","Unknown"
"2","7","3","1","4","skipped","skipped","nan","Unknown"
