rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
4,20,13,11,7,16,8,20,6,9,2,14,1,12,3,15,17,5,20,10,1.0,20.0
20,20,1,4,20,20,20,3,20,20,20,20,6,20,2,20,20,7,20,20,,
2,20,13,9,8,18,6,17,5,15,1,14,3,12,4,16,11,7,19,10,,
4,19,11,9,6,16,8,18,5,15,2,14,3,13,1,17,10,7,20,12,,
7,19,13,6,8,17,5,15,9,18,3,11,2,16,1,10,14,4,20,12,,
2,8,19,6,11,18,9,16,7,14,1,15,4,12,5,17,3,10,20,13,,
1,17,13,5,9,18,6,20,7,12,4,10,2,14,3,16,15,8,19,11,,
12,19,18,11,7,20,13,20,20,17,1,9,6,15,16,20,10,8,20,14,,
11,16,2,4,6,5,8,1,15,20,14,19,12,9,3,7,18,10,13,17,,
6,15,1,9,3,10,7,17,12,11,4,16,5,19,2,13,18,8,20,14,,
1,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,3,20,20,20,,
8,16,6,13,10,19,9,18,11,17,4,7,1,14,3,15,2,5,20,12,,
5,20,20,7,6,20,8,20,1,20,2,20,4,20,3,20,20,20,20,20,,
1,20,6,11,5,19,9,16,4,14,2,13,8,18,7,17,3,12,15,10,,
7,20,1,20,9,11,10,5,12,20,3,20,4,20,2,20,20,6,8,20,,
3,16,20,11,12,14,6,13,2,8,5,4,18,10,19,15,1,7,17,9,,
19,19,1,19,19,3,19,2,19,19,19,19,6,19,5,19,20,19,4,19,,
5,20,2,7,15,20,6,20,8,13,3,11,1,14,4,16,10,9,20,12,,
1,17,15,10,9,19,8,18,5,14,2,11,3,12,6,16,4,7,20,13,,
4,18,16,8,6,13,10,14,5,19,1,9,2,12,3,17,15,7,20,11,,
11,19,8,4,7,18,5,17,6,13,2,10,3,15,1,16,12,9,20,14,,
3,15,6,12,8,20,5,20,11,16,1,13,4,14,2,20,7,9,17,10,,
4,20,6,18,20,20,16,20,20,20,1,19,2,20,3,20,20,17,20,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
14,16,6,4,7,17,3,18,10,11,2,9,8,15,1,17,13,5,18,12,,
1,19,13,5,9,18,6,17,4,16,3,10,2,12,14,11,7,8,20,15,,
1,18,17,7,8,15,11,20,6,12,1,10,3,16,5,14,9,4,19,13,,
4,17,6,7,10,18,9,19,5,16,2,13,2,14,1,12,11,8,20,15,,
6,20,5,3,20,20,7,20,20,20,1,20,8,20,2,20,20,4,20,20,,
4,17,16,10,5,18,8,19,9,13,3,11,2,15,1,14,7,6,20,12,,
6,16,1,8,9,15,11,18,10,20,4,14,2,12,3,19,13,5,17,7,,
10,13,3,11,16,16,5,16,16,16,1,12,2,12,4,16,9,11,16,11,,
7,16,6,2,11,16,5,20,9,16,1,11,2,11,2,16,7,10,16,11,,
3,15,14,10,11,18,6,20,4,12,5,7,2,13,8,17,1,9,19,16,,
1,17,2,9,8,20,4,10,11,13,5,16,6,19,3,18,12,7,15,14,,
1,7,5,14,3,16,10,20,2,15,4,9,19,12,13,16,6,11,8,17,,
6,19,10,5,4,18,7,19,11,15,2,16,9,13,1,12,13,3,20,8,,
8,15,5,6,9,15,7,10,9,14,2,11,3,13,1,14,12,4,15,13,,
7,18,15,9,4,17,8,20,3,16,6,10,2,11,1,12,14,5,19,13,,
8,19,20,17,3,19,9,19,6,19,1,7,4,19,2,19,10,5,19,19,,
5,13,18,8,3,17,10,20,9,12,6,11,2,15,1,14,4,7,19,16,,
8,17,2,7,6,16,9,15,14,18,5,10,4,11,1,13,20,3,19,12,,
9,19,17,10,6,13,3,7,5,12,1,8,4,16,2,18,15,4,20,14,,
6,18,14,10,4,16,5,19,7,15,3,11,1,12,2,17,8,9,20,13,,
5,17,13,6,9,16,2,19,4,15,3,10,1,14,7,18,12,8,20,11,,
7,18,1,5,12,19,8,16,10,17,3,15,2,14,4,13,6,11,20,9,,
6,19,17,9,8,16,7,18,4,11,1,14,13,12,5,15,10,3,20,2,,
