rank1,rank2,rank3,rank4,numSeats,numCands
3,2,1,4,Unknown,4.0
3,2,1,4,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
4,3,1,2,Unknown,
3,2,1,4,Unknown,
4,2,3,1,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
4,2,1,4,Unknown,
4,2,1,3,Unknown,
4,4,1,4,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
4,4,1,4,Unknown,
4,4,1,4,Unknown,
3,2,1,4,Unknown,
3,2,1,3,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
4,2,1,3,Unknown,
4,4,1,4,Unknown,
3,2,1,4,Unknown,
4,2,1,3,Unknown,
2,3,1,4,Unknown,
4,3,1,2,Unknown,
3,2,1,4,Unknown,
4,3,1,2,Unknown,
2,1,3,4,Unknown,
3,2,1,4,Unknown,
3,2,1,4,Unknown,
4,4,1,4,Unknown,
4,2,1,3,Unknown,
4,2,1,4,Unknown,
3,2,1,4,Unknown,
4,2,1,3,Unknown,
3,2,1,4,Unknown,
4,4,1,4,Unknown,
4,2,1,3,Unknown,
