rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,numSeats,numCands
2,10,14,3,6,1,4,7,8,12,6,13,9,5,1.0,14.0
4,14,2,14,5,1,14,3,14,7,6,14,14,8,,
7,1,14,2,6,4,12,9,3,5,13,11,8,10,,
8,7,3,9,14,2,11,5,6,12,4,10,14,1,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
14,14,14,14,14,14,2,14,14,14,14,14,13,1,,
10,13,5,2,3,14,1,9,8,4,12,7,14,6,,
14,14,14,14,11,12,14,14,1,14,13,14,14,14,,
1,13,3,7,9,2,10,5,11,6,4,14,12,8,,
6,3,4,14,2,8,9,12,10,7,11,13,1,5,,
14,9,1,4,9,2,14,6,9,3,5,14,9,14,,
3,14,2,14,14,1,14,2,14,14,3,14,14,14,,
13,12,6,4,5,8,14,9,10,2,7,3,11,1,,
14,14,1,14,5,14,3,14,14,2,14,4,14,14,,
5,3,3,14,1,3,1,4,3,2,14,14,4,14,,
14,1,14,2,14,14,14,14,14,14,14,14,14,14,,
14,14,1,13,14,14,9,14,12,8,14,10,14,11,,
14,14,4,9,8,1,14,3,8,8,5,14,14,2,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
11,10,4,3,2,7,13,5,9,14,8,12,6,1,,
11,8,10,1,7,4,2,6,5,14,9,13,3,12,,
4,14,5,7,8,2,14,3,14,14,1,14,9,6,,
1,14,14,14,2,14,14,14,14,14,14,14,4,3,,
10,10,4,6,11,1,14,2,10,7,3,14,8,14,,
5,4,3,7,14,8,13,11,12,9,10,6,2,1,,
2,13,1,3,13,5,13,13,13,13,13,13,14,4,,
14,14,14,2,3,4,8,14,6,7,14,1,14,5,,
5,14,3,14,14,1,14,4,14,14,2,14,14,14,,
4,11,3,6,14,2,9,5,8,7,1,10,12,13,,
4,10,1,11,5,2,14,3,8,6,7,13,9,12,,
14,14,14,14,1,14,14,14,14,14,14,14,2,3,,
14,5,9,4,3,10,11,7,6,12,8,13,1,2,,
14,4,2,6,5,1,12,3,11,9,8,10,13,7,,
14,14,14,14,2,14,3,14,14,1,14,14,14,4,,
14,14,14,14,1,14,4,14,14,3,14,14,5,3,,
8,6,5,11,1,4,12,9,10,3,7,13,2,14,,
11,1,5,2,7,12,3,8,10,6,9,13,4,14,,
2,14,5,7,8,3,14,4,14,14,1,14,6,14,,
4,14,5,7,14,2,14,3,14,14,1,14,6,8,,
2,14,1,14,14,5,14,3,7,14,4,14,14,14,,
14,14,6,1,3,14,5,14,14,7,14,2,4,14,,
1,9,2,8,7,5,9,4,6,9,3,9,9,9,,
2,13,4,11,5,1,12,9,10,14,8,7,3,6,,
14,1,4,9,8,11,7,13,5,3,12,10,6,2,,
14,14,14,1,3,14,2,14,14,14,14,1,3,4,,
14,9,2,6,11,1,12,3,8,4,13,10,7,5,,
5,11,3,4,9,1,14,6,2,8,7,13,10,12,,
1,12,8,13,14,3,7,10,4,2,9,6,11,5,,
1,14,3,6,7,2,14,4,8,14,14,14,5,9,,
8,4,5,14,2,10,7,12,9,3,11,6,1,13,,
10,11,3,6,4,14,7,13,8,5,12,9,1,2,,
14,14,14,14,14,14,2,14,14,1,14,14,14,14,,
12,2,9,1,5,3,11,10,6,7,8,13,4,14,,
