rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
4,15,4,8,4,5,8,1,7,15,2,6,6,15,1,1.0,15.0
3,7,13,10,2,6,14,1,9,15,8,11,5,12,4,,
1,3,9,15,4,5,15,2,6,15,8,15,10,7,11,,
2,9,8,13,3,11,14,1,10,15,4,6,12,7,5,,
14,14,15,14,14,7,6,5,3,2,4,14,14,14,1,,
3,3,4,1,5,2,4,2,1,5,3,1,2,5,2,,
10,14,11,6,9,2,13,15,4,12,1,3,8,5,7,,
5,6,7,3,6,3,8,3,1,9,1,1,3,5,5,,
6,13,15,4,9,8,14,7,3,11,10,2,1,13,5,,
11,15,14,4,10,6,9,1,5,11,7,3,12,13,2,,
1,1,3,6,3,6,8,3,6,9,8,9,7,7,9,,
2,4,15,3,9,11,14,1,10,13,6,8,5,12,7,,
2,14,15,13,7,1,12,10,11,9,3,5,6,8,4,,
10,10,10,9,10,1,3,7,5,10,2,4,6,10,8,,
2,13,13,2,2,15,8,10,1,13,1,1,7,13,6,,
15,14,11,3,13,9,12,5,2,8,4,1,7,10,6,,
1,7,14,4,9,2,12,3,4,10,13,8,15,6,11,,
14,10,15,5,7,13,9,2,1,12,3,4,6,8,11,,
8,8,14,2,9,15,12,9,4,6,3,1,7,13,5,,
11,9,6,5,12,15,10,4,2,13,3,1,14,7,8,,
2,15,7,12,2,2,12,15,3,4,3,4,4,10,1,,
6,15,15,9,15,2,10,7,3,15,8,4,15,1,5,,
1,15,3,15,1,2,14,1,2,15,2,2,14,14,3,,
1,15,15,10,9,2,15,4,7,15,3,6,8,5,15,,
6,12,13,2,4,15,14,7,5,11,1,3,8,9,10,,
2,5,15,1,4,15,3,3,1,2,1,1,4,2,5,,
7,4,15,3,9,10,15,1,6,15,2,5,10,15,9,,
15,10,15,4,1,5,9,2,3,15,6,7,15,11,8,,
10,15,15,5,7,8,9,3,4,15,6,2,11,15,1,,
3,14,11,3,3,15,9,10,1,13,1,1,8,12,6,,
4,1,6,5,4,2,1,1,5,10,7,3,9,8,3,,
15,15,6,5,15,15,15,4,2,15,3,1,15,7,15,,
7,15,15,15,5,1,15,3,6,15,4,15,15,15,2,,
7,14,15,10,13,3,11,8,2,12,5,6,9,1,4,,
7,6,15,5,1,10,9,3,2,14,5,11,12,13,4,,
3,15,10,3,10,2,15,2,15,13,1,1,10,15,1,,
1,15,15,1,1,1,1,1,1,15,1,1,1,1,1,,
6,15,9,10,5,11,12,4,7,14,2,3,8,13,1,,
14,8,7,9,10,15,11,3,2,13,6,1,4,12,5,,
9,15,14,10,6,1,7,4,11,12,2,3,8,13,5,,
5,15,14,8,14,2,4,3,14,14,6,14,7,14,1,,
