"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"16","5","7","2","3","4","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","16.0","1.0"
"3","8","13","10","16","12","7","15","14","2","9","6","5","4","11","1","nan","nan"
"16","8","9","14","1","13","5","10","7","11","3","15","2","6","4","12","nan","nan"
"9","6","13","7","10","14","16","2","11","12","1","8","4","15","3","5","nan","nan"
"16","3","2","4","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","16","5","2","7","3","6","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","16","3","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","6","7","3","2","4","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","6","1","4","5","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","6","14","5","7","15","11","8","12","13","9","4","3","16","2","1","nan","nan"
"16","2","3","4","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","14","10","15","2","16","13","11","9","7","3","6","5","8","12","1","nan","nan"
"15","10","11","8","2","1","16","13","9","3","6","7","12","4","14","5","nan","nan"
"10","3","4","5","7","13","15","6","9","11","2","12","1","16","14","8","nan","nan"
"6","4","13","2","9","15","8","5","7","14","3","12","10","16","1","11","nan","nan"
"16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","11","2","4","9","5","14","13","7","10","16","3","12","1","6","8","nan","nan"
"6","3","13","4","7","15","10","14","8","12","11","1","2","16","5","9","nan","nan"
"16","5","1","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","6","3","5","11","14","10","9","12","8","1","16","13","2","15","nan","nan"
"8","14","3","5","10","6","16","7","15","4","12","9","1","11","2","13","nan","nan"
"16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","4","5","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","3","4","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","15","14","13","8","9","4","3","11","12","7","2","5","1","skipped","skipped","nan","nan"
"16","3","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","14","11","15","13","8","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","5","4","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","3","5","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","4","6","14","12","15","10","9","1","7","8","3","13","11","16","nan","nan"
"9","4","5","6","13","10","14","8","15","11","1","7","16","12","3","2","nan","nan"
