rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,numSeats,numCands
8,1,24,23,14,4,25,17,12,7,28,7,17,27,12,26,23,5,23,2,18,9,7,17,13,23,12,23,1.0,28.0
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,8,18,18,22,9,1,23,18,18,25,3,18,6,7,27,12,19,20,2,21,4,24,11,5,26,10,13,,
3,9,20,19,1,6,7,14,22,21,28,18,15,11,17,24,12,16,13,4,5,2,8,25,10,27,23,26,,
3,2,24,24,1,4,5,24,24,24,28,24,24,7,9,27,24,10,24,11,25,12,8,26,7,24,20,24,,
4,1,19,22,8,10,24,23,15,20,27,17,14,9,7,26,16,2,13,11,3,6,18,12,5,28,25,21,,
4,1,28,2,28,28,28,28,5,28,7,28,28,6,28,28,28,28,28,28,28,28,28,28,28,28,3,28,,
3,2,25,25,1,5,27,25,25,25,28,25,25,25,25,27,25,9,25,8,6,4,7,25,25,27,27,25,,
16,1,16,23,3,12,18,14,23,16,28,16,16,15,16,26,26,2,27,23,23,16,16,23,13,24,17,16,,
28,5,28,28,2,3,28,28,28,28,28,28,28,28,28,28,28,1,28,28,4,28,6,28,28,28,28,28,,
6,14,22,20,1,15,3,13,17,8,23,10,15,18,25,16,11,12,26,2,4,7,9,19,21,27,24,28,,
10,7,14,14,1,4,24,14,14,14,27,14,14,25,14,13,14,2,11,3,6,5,9,12,8,28,26,23,,
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,2,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
3,1,4,20,2,7,23,22,13,14,28,19,21,17,12,15,11,6,5,8,9,10,25,18,16,28,24,22,,
7,3,15,14,1,5,24,20,6,21,28,19,18,16,25,26,17,12,8,2,11,13,10,23,9,28,27,22,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,,
10,1,13,10,3,2,23,19,6,16,28,24,18,19,22,14,27,7,11,8,12,4,15,22,6,25,22,17,,
4,6,15,16,1,9,24,20,17,18,26,22,13,5,14,27,21,8,10,3,11,2,12,23,7,28,25,19,,
28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
2,3,14,22,1,6,23,15,18,24,28,13,20,5,25,26,18,4,10,16,8,13,5,19,9,27,21,18,,
11,8,20,22,1,7,26,10,19,5,23,15,17,14,16,25,18,13,2,3,9,6,4,21,12,24,27,28,,
8,5,20,20,1,4,16,20,20,20,28,20,20,11,20,26,20,9,12,7,25,18,20,20,2,20,24,20,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,2,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
24,3,5,26,4,17,16,9,10,18,28,14,8,20,13,25,12,1,11,6,2,7,27,15,22,19,21,23,,
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,6,5,28,28,28,28,9,28,28,28,28,4,28,28,28,1,28,3,7,8,2,28,28,28,,
17,1,20,20,3,4,2,16,20,15,28,18,6,13,12,27,20,11,19,7,9,8,14,10,5,26,25,20,,
1,26,26,26,28,26,26,26,3,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,,
27,27,27,27,27,27,27,27,27,27,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
6,4,16,16,1,3,20,12,16,11,28,16,8,21,23,27,15,5,13,2,26,9,7,24,14,10,22,25,,
28,28,28,28,28,28,2,28,28,28,1,28,28,28,28,4,28,28,28,3,28,28,28,28,28,28,28,28,,
3,12,28,28,1,28,9,28,28,28,28,28,28,28,28,28,28,28,28,2,5,28,4,28,28,28,28,28,,
5,8,19,14,1,7,22,16,20,11,28,24,12,18,15,13,10,21,17,2,4,6,3,23,9,26,27,25,,
14,1,14,14,4,14,14,14,14,14,28,14,14,14,14,14,14,14,14,2,14,14,14,25,3,27,14,26,,
8,5,16,24,1,11,9,12,25,21,27,15,13,14,18,26,19,17,2,4,3,6,10,28,7,22,20,23,,
10,2,23,23,1,5,27,23,23,23,28,9,23,23,6,7,23,4,23,9,23,23,23,23,3,23,26,23,,
27,1,27,27,27,3,9,27,27,27,27,27,27,27,27,27,28,2,27,2,27,4,27,27,27,28,27,27,,
13,12,21,19,1,8,7,17,16,15,27,23,20,9,24,11,5,22,25,2,10,18,4,26,3,28,6,14,,
20,25,20,20,28,15,1,20,20,20,27,20,20,16,20,26,20,10,24,20,20,20,20,20,23,20,22,20,,
5,3,17,15,1,4,24,12,13,19,28,25,16,23,21,27,9,7,14,2,6,8,11,20,10,18,26,22,,
14,9,11,25,1,6,7,13,20,20,26,22,21,17,23,27,12,10,19,5,2,3,16,4,8,28,18,15,,
3,16,15,15,1,6,28,20,15,15,27,19,15,22,25,23,15,4,7,2,5,8,9,18,17,26,24,21,,
12,2,17,24,8,3,18,23,19,11,28,21,26,15,9,27,14,1,22,4,13,10,5,7,6,20,16,25,,
6,7,26,19,1,3,20,19,19,19,28,23,19,18,14,22,19,15,17,2,5,4,8,24,16,27,21,25,,
7,3,25,12,4,5,16,11,12,12,26,19,12,6,22,27,10,17,23,1,8,2,21,20,9,28,18,24,,
25,28,21,26,11,7,3,5,21,1,2,21,21,9,4,21,21,27,10,24,6,8,21,21,22,12,21,24,,
4,12,14,24,1,5,6,21,23,15,28,10,19,11,13,20,18,22,8,2,9,3,16,25,7,27,17,26,,
28,28,21,10,28,28,1,28,28,15,28,28,28,28,28,28,28,28,4,28,2,28,28,28,28,3,28,28,,
18,2,16,15,1,3,27,5,13,15,22,17,13,23,19,21,15,13,15,13,25,24,20,13,4,28,26,13,,
15,27,24,25,8,2,9,12,16,26,4,23,22,6,3,7,14,28,20,18,11,13,21,19,5,10,1,17,,
8,8,27,27,1,5,10,14,27,27,28,27,27,23,27,28,19,17,19,4,5,3,11,18,7,28,27,27,,
2,8,10,22,1,7,27,25,14,21,28,20,11,16,12,26,23,6,5,4,3,13,18,17,9,15,19,24,,
7,1,21,24,2,3,26,20,13,19,28,16,14,8,9,27,15,6,18,4,11,10,17,22,5,23,12,25,,
26,7,21,16,2,5,19,17,20,22,28,11,12,15,8,27,25,13,24,1,23,4,6,9,3,14,18,10,,
2,3,17,22,1,4,11,20,21,26,28,24,18,10,13,9,16,6,15,12,8,5,23,19,7,27,14,25,,
3,8,15,22,1,6,20,7,9,14,28,11,10,16,12,25,19,18,21,2,4,5,13,26,17,27,23,24,,
5,1,19,24,3,4,2,25,22,17,28,25,25,26,9,27,25,8,15,7,25,6,25,21,16,20,18,23,,
11,2,28,28,4,6,1,25,28,28,28,26,28,16,16,28,28,22,15,20,10,28,28,28,19,28,22,28,,
16,7,21,19,1,17,26,12,18,14,28,15,8,20,24,23,9,13,11,6,4,2,3,25,5,10,22,27,,
4,1,16,13,2,3,9,18,21,17,28,15,19,22,14,26,23,12,20,6,5,7,10,27,8,27,11,24,,
12,10,28,23,2,7,4,15,27,26,18,20,22,5,16,14,24,13,8,1,19,6,3,17,9,21,11,25,,
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,26,12,14,1,24,4,13,11,16,6,19,10,3,22,21,15,23,8,2,20,5,9,18,27,25,7,17,,
28,1,22,21,23,28,28,11,21,28,28,9,22,28,28,28,22,21,15,23,23,23,28,23,28,28,28,23,,
4,3,21,17,1,7,8,16,20,18,28,24,15,13,14,11,19,12,28,5,9,10,6,23,2,28,22,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
2,4,28,28,1,3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,7,28,28,28,10,1,28,28,28,5,28,9,4,3,28,28,28,28,2,28,28,28,28,6,28,8,28,,
28,3,28,28,1,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4,28,28,28,,
27,15,20,16,2,12,23,19,17,10,28,13,5,21,22,24,3,14,4,6,1,8,7,9,25,18,26,11,,
5,6,23,23,1,4,24,23,23,23,25,23,23,8,23,23,23,3,23,2,23,23,23,26,7,23,28,27,,
11,5,16,23,1,15,21,13,18,24,27,10,17,7,9,25,20,14,12,2,4,3,19,8,6,28,22,26,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,,
4,6,25,25,2,5,26,25,25,25,28,25,25,9,8,27,25,7,25,3,25,11,25,25,1,25,10,25,,
4,6,12,15,1,8,23,18,17,19,28,21,14,9,11,20,16,10,13,1,3,5,24,22,7,27,25,26,,
5,9,28,28,1,6,28,28,28,28,28,28,28,28,28,28,28,7,28,3,4,2,10,28,11,8,28,28,,
25,28,18,18,26,4,1,18,18,18,2,3,18,21,20,22,18,23,19,6,18,5,24,18,27,18,8,7,,
1,2,23,27,2,4,28,22,24,25,28,28,18,28,28,28,23,7,9,15,5,28,28,27,6,28,28,28,,
