rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
2,11,5,1,4,6,10,8,7,9,3,1.0,11.0
2,8,4,5,10,9,7,6,11,1,3,,
11,9,10,11,9,3,4,5,1,2,10,,
1,7,5,11,6,11,9,11,11,3,4,,
9,5,3,10,7,11,8,4,1,6,2,,
7,2,8,11,6,9,4,3,10,5,1,,
11,10,4,3,3,10,10,2,1,5,10,,
11,1,11,11,11,11,11,11,11,11,11,,
10,4,11,5,6,9,2,8,3,1,7,,
4,3,4,1,11,11,1,11,2,3,3,,
2,11,11,11,11,11,11,11,11,1,1,,
1,6,5,8,7,11,9,10,4,3,2,,
11,11,11,3,11,11,4,11,11,1,2,,
11,11,11,11,11,11,11,11,11,1,2,,
4,8,1,2,10,11,7,5,6,3,9,,
1,5,3,9,6,10,7,8,11,4,2,,
1,5,3,10,6,4,8,9,7,11,2,,
11,11,2,4,11,11,11,11,5,1,3,,
1,6,2,10,8,7,5,9,11,4,3,,
1,11,11,11,11,11,11,11,11,11,11,,
2,11,11,11,11,11,11,11,1,11,11,,
2,9,4,5,6,8,10,11,7,1,3,,
5,1,4,8,9,7,3,10,11,6,2,,
1,4,6,7,11,11,5,11,11,3,3,,
11,6,1,11,11,9,4,5,3,7,8,,
1,4,4,1,11,11,3,11,2,11,11,,
1,10,6,6,6,3,10,8,11,3,3,,
1,2,7,5,4,3,4,11,11,5,6,,
11,7,9,6,2,10,4,3,1,5,8,,
1,4,2,11,11,11,11,11,11,5,3,,
11,11,11,1,11,11,11,3,2,11,11,,
1,11,11,11,11,2,3,5,5,11,11,,
11,3,4,5,10,9,7,8,6,1,2,,
11,11,11,11,11,11,11,11,11,11,11,,
6,7,4,11,1,11,11,5,11,3,2,,
5,6,4,11,8,10,3,7,9,2,1,,
8,3,11,4,8,1,9,2,8,10,8,,
1,6,11,9,5,10,4,8,8,3,2,,
11,3,11,4,11,11,1,11,11,2,11,,
1,11,11,1,11,3,3,11,2,11,11,,
2,8,11,11,10,11,11,9,1,11,11,,
1,4,6,11,2,9,7,3,8,10,5,,
1,7,7,11,10,5,2,3,9,8,4,,
11,11,3,6,11,11,11,11,11,1,2,,
1,6,4,11,11,11,5,2,11,3,11,,
