rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
2,11,11,4,11,11,3,11,1,11,11,1.0,11.0
5,6,11,9,2,7,8,1,4,10,3,,
2,9,10,5,3,11,6,8,1,4,7,,
11,11,11,11,11,11,11,3,11,2,1,,
4,9,8,6,2,11,5,10,1,3,7,,
2,3,11,4,11,11,11,11,1,11,11,,
5,9,7,1,4,11,10,2,3,9,6,,
1,11,5,11,6,11,7,2,3,4,11,,
2,6,11,2,3,11,7,5,1,4,11,,
11,11,11,11,11,11,11,11,1,11,11,,
7,9,6,8,2,10,3,5,1,4,11,,
11,11,11,11,11,11,11,11,1,11,11,,
4,10,8,5,1,6,7,11,3,9,2,,
2,11,11,11,3,11,4,11,1,11,11,,
4,7,6,1,5,10,9,3,2,8,11,,
2,11,10,4,6,8,3,6,1,5,9,,
1,4,11,3,5,9,8,7,2,6,10,,
5,4,9,11,3,10,6,7,1,2,8,,
11,11,11,11,11,11,11,1,2,11,11,,
11,11,11,4,3,11,11,1,2,11,11,,
4,5,7,8,10,11,3,1,2,6,9,,
3,5,10,8,2,11,7,6,1,4,9,,
11,11,11,11,11,11,11,11,1,11,11,,
11,11,11,11,11,11,11,11,1,11,11,,
3,11,11,11,2,11,11,11,1,11,11,,
4,5,9,3,2,10,6,7,1,11,8,,
2,11,9,3,4,7,5,6,1,10,8,,
3,10,10,2,10,5,11,4,1,10,4,,
5,3,11,4,2,11,6,11,1,11,11,,
3,4,11,6,11,11,7,2,1,5,11,,
5,10,7,6,2,11,4,8,1,3,9,,
5,6,10,8,4,11,4,2,1,7,10,,
2,4,11,3,5,11,11,11,1,11,6,,
5,5,4,2,8,9,11,6,3,8,1,,
2,5,9,4,6,11,11,4,1,3,3,,
2,11,7,8,5,10,9,4,1,3,6,,
2,11,11,11,11,11,11,3,1,11,11,,
2,11,11,5,7,11,6,3,1,4,11,,
3,11,11,11,11,11,11,11,2,1,11,,
11,11,11,11,11,11,11,11,1,11,11,,
2,11,11,4,3,11,11,5,1,11,11,,
2,4,11,11,3,11,11,11,1,11,11,,
