"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"1","16","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","16.0","1.0"
"1","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","9","11","4","13","16","10","6","12","5","3","2","7","skipped","skipped","skipped","nan","nan"
"15","12","8","13","4","5","3","1","7","14","9","16","11","10","2","skipped","nan","nan"
"3","13","6","4","11","12","8","16","2","10","7","5","1","15","14","9","nan","nan"
"3","11","16","5","13","7","2","15","9","10","14","8","1","6","12","4","nan","nan"
"1","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","2","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","7","8","13","14","16","6","1","12","11","5","4","3","9","2","15","nan","nan"
"15","7","10","1","16","11","14","6","12","13","3","8","4","2","5","9","nan","nan"
"1","4","9","3","13","12","11","10","6","2","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","10","6","11","9","4","8","1","3","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","9","7","13","14","12","10","16","8","11","4","1","2","6","skipped","nan","nan"
"4","14","6","10","11","12","8","5","15","1","13","2","3","16","9","7","nan","nan"
"15","10","3","11","12","14","7","1","16","2","9","6","4","13","5","8","nan","nan"
"4","10","7","5","11","14","16","3","13","12","8","6","1","2","9","15","nan","nan"
"6","4","11","7","15","9","16","8","10","2","1","5","3","skipped","skipped","skipped","nan","nan"
"4","1","15","5","8","6","11","16","12","2","9","3","13","14","skipped","skipped","nan","nan"
"15","14","10","3","11","16","7","1","13","4","12","5","2","9","6","8","nan","nan"
"1","5","10","4","15","14","12","6","13","8","11","7","2","3","9","16","nan","nan"
"1","16","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","8","10","4","9","16","6","3","2","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","7","16","5","2","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","7","3","12","15","13","16","6","5","4","2","8","skipped","skipped","skipped","nan","nan"
"1","12","16","11","8","10","14","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","14","7","12","6","8","13","15","5","4","9","2","3","11","16","nan","nan"
"1","8","12","6","14","15","4","16","13","10","11","9","3","2","7","5","nan","nan"
"2","16","4","5","6","7","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","5","10","4","8","15","14","6","9","12","11","7","3","2","13","16","nan","nan"
"1","16","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","12","7","3","15","4","14","13","11","8","16","1","6","5","10","nan","nan"
"1","11","8","4","14","16","15","6","13","10","7","12","2","3","5","9","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","6","16","12","2","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","2","11","13","12","15","8","5","10","14","1","16","skipped","skipped","skipped","skipped","nan","nan"
"5","12","8","4","13","10","14","7","15","9","11","3","1","2","6","16","nan","nan"
"2","5","13","6","10","12","9","14","16","7","4","8","1","3","11","15","nan","nan"
"2","8","9","6","7","16","12","4","13","11","10","5","1","3","14","skipped","nan","nan"
"2","6","7","11","12","8","3","16","10","13","14","4","9","1","15","5","nan","nan"
"1","16","5","7","6","8","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
