rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,numSeats,numCands
Skipped,Skipped,7,20,4,8,13,10,12,5,11,6,17,15,23,Skipped,Skipped,18,3,21,2,14,19,9,22,1,1.0,26.0
14,10,22,2,24,4,20,6,26,11,17,1,19,12,21,16,18,3,15,13,7,8,23,9,5,25,,
Skipped,8,Skipped,3,13,12,Skipped,11,Skipped,4,Skipped,Skipped,Skipped,14,Skipped,Skipped,10,7,9,2,5,16,15,6,1,Skipped,,
20,7,14,2,21,5,22,3,16,1,13,8,19,23,25,24,18,17,12,10,11,9,26,4,6,15,,
9,15,11,17,8,19,4,25,3,25,14,23,5,1,13,7,10,18,6,24,16,26,12,21,22,2,,
26,8,26,1,26,7,26,6,26,4,26,4,26,12,26,26,10,2,11,9,3,9,26,6,5,26,,
3,22,17,14,4,18,2,20,5,8,6,19,11,7,21,10,9,12,15,26,16,23,24,13,25,1,,
20,6,17,2,18,7,15,11,19,9,23,1,20,22,26,26,13,8,14,5,4,12,26,10,3,16,,
26,8,14,2,26,10,26,11,26,3,17,1,26,26,26,26,13,4,15,12,5,7,26,9,6,16,,
Skipped,Skipped,Skipped,4,Skipped,10,Skipped,Skipped,13,9,Skipped,4,Skipped,26,26,Skipped,Skipped,4,19,1,11,8,26,Skipped,1,25,,
26,11,26,2,26,9,26,5,26,7,26,1,26,26,26,26,26,4,26,13,3,8,26,6,10,12,,
Skipped,Skipped,5,11,9,20,2,17,8,14,6,13,Skipped,13,22,14,4,15,6,24,3,21,23,14,26,1,,
26,26,26,9,26,26,1,26,3,26,2,8,26,26,26,26,26,26,6,26,4,26,26,7,26,5,,
12,21,8,20,22,15,1,14,25,3,5,17,10,7,18,9,6,11,16,24,4,26,19,13,23,2,,
16,14,11,7,9,1,6,8,22,12,4,10,19,24,21,18,15,13,5,25,20,2,23,3,26,17,,
22,20,11,2,9,16,18,8,10,14,13,4,17,7,19,23,24,15,5,21,1,6,26,12,25,3,,
2,26,8,26,4,26,13,26,9,26,14,26,11,7,12,3,5,26,6,26,15,26,10,26,26,1,,
8,3,26,7,26,26,5,26,26,26,26,26,26,26,26,6,1,26,26,26,26,26,4,26,2,26,,
Skipped,16,Skipped,3,15,8,13,12,10,6,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,11,4,1,Skipped,7,14,9,,
3,23,15,24,5,17,7,19,10,18,12,21,14,6,11,9,2,22,13,26,16,25,1,20,25,4,,
21,10,19,1,17,11,15,8,18,3,16,2,20,24,25,22,23,5,13,9,6,12,26,7,4,14,,
22,10,13,1,18,10,17,2,19,5,16,1,23,24,21,20,25,6,14,10,1,7,26,7,7,15,,
17,15,13,4,21,2,9,11,12,7,19,10,18,20,25,23,24,8,22,16,1,5,26,3,14,6,,
2,17,10,23,12,19,8,18,21,14,3,22,6,5,11,1,13,15,20,24,7,16,4,9,25,26,,
19,9,13,3,22,10,20,11,17,2,21,4,18,23,24,25,16,5,15,8,1,12,26,6,7,14,,
26,10,26,8,14,2,26,11,26,3,26,1,26,26,26,26,26,7,13,12,6,5,26,9,4,26,,
19,10,13,4,15,5,21,8,17,6,22,3,20,24,23,16,25,7,18,12,2,1,26,9,11,14,,
11,19,7,6,15,12,10,22,4,14,8,20,17,9,23,13,1,18,16,26,3,21,25,5,24,2,,
16,8,15,6,25,12,24,11,21,7,13,4,14,18,23,20,22,2,19,9,1,3,26,10,9,17,,
4,13,5,15,8,10,16,18,1,24,6,22,14,11,20,17,2,21,7,25,9,19,23,12,26,3,,
26,26,26,4,26,26,26,3,26,2,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,,
26,2,7,1,9,4,26,3,25,3,8,1,26,26,26,26,6,2,25,5,1,3,26,3,5,5,,
18,11,23,4,19,8,15,10,25,3,20,1,21,17,22,24,14,2,16,7,5,9,26,12,6,13,,
26,26,26,1,26,7,26,26,26,4,26,26,26,26,26,26,26,2,26,26,6,3,26,5,26,26,,
