"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"10","6","4","1","11","8","5","7","2","3","9","11.0","1.0"
"2","10","4","5","1","3","11","skipped","skipped","skipped","skipped","nan","nan"
"2","4","5","9","11","10","8","1","3","7","6","nan","nan"
"5","11","4","7","1","8","6","3","2","skipped","skipped","nan","nan"
"11","10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","6","3","5","1","4","skipped","skipped","skipped","skipped","nan","nan"
"9","11","10","5","2","4","8","1","6","3","7","nan","nan"
"11","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","11","2","6","7","1","8","3","4","skipped","skipped","nan","nan"
"7","11","5","1","4","10","6","8","2","9","3","nan","nan"
"11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","3","11","6","4","1","2","skipped","skipped","skipped","nan","nan"
"5","11","10","7","4","6","3","1","2","8","9","nan","nan"
"3","11","6","2","8","9","5","1","7","4","10","nan","nan"
"11","3","2","1","4","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","3","2","10","1","4","5","7","skipped","skipped","nan","nan"
"5","11","3","2","4","1","6","skipped","skipped","skipped","skipped","nan","nan"
"5","11","7","1","10","2","4","3","6","skipped","skipped","nan","nan"
"4","11","8","7","10","3","1","5","6","2","9","nan","nan"
"1","11","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","7","4","10","9","5","1","2","3","8","nan","nan"
"11","4","1","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","11","5","8","6","7","2","3","1","4","9","nan","nan"
"8","11","10","5","4","1","2","6","3","7","9","nan","nan"
"7","10","1","9","3","2","11","6","8","5","4","nan","nan"
"1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","11","5","9","4","1","2","7","10","6","3","nan","nan"
"9","11","1","5","10","2","7","6","8","skipped","skipped","nan","nan"
"4","11","5","8","7","2","1","9","10","3","6","nan","nan"
"9","11","7","6","3","5","1","8","2","4","10","nan","nan"
"4","11","7","6","9","8","3","1","2","5","10","nan","nan"
"5","11","6","1","8","10","4","3","2","7","9","nan","nan"
"6","11","3","5","10","9","1","2","4","7","8","nan","nan"
"4","11","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","7","4","10","3","5","1","6","skipped","skipped","nan","nan"
"1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","10","7","2","11","9","5","1","3","4","8","nan","nan"
"8","1","4","3","5","9","2","10","7","6","11","nan","nan"
"5","11","8","9","10","4","2","1","6","3","7","nan","nan"
"7","11","1","8","10","3","2","9","skipped","skipped","skipped","nan","nan"
"6","10","8","2","11","7","1","3","4","5","9","nan","nan"
"3","11","9","1","5","8","4","2","7","6","10","nan","nan"
"2","11","9","3","6","8","1","5","4","7","10","nan","nan"
"11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","10","5","1","9","4","7","11","2","8","6","nan","nan"
"2","10","4","11","5","8","1","6","3","9","7","nan","nan"
"7","2","6","1","5","11","4","8","3","skipped","skipped","nan","nan"
"3","11","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","5","2","1","3","4","skipped","skipped","skipped","skipped","nan","nan"
"4","11","2","6","3","9","1","5","10","skipped","skipped","nan","nan"
"1","11","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","10","6","1","11","9","4","3","2","7","8","nan","nan"
"9","11","8","6","10","1","2","7","5","4","3","nan","nan"
"3","11","8","5","4","6","1","2","7","10","9","nan","nan"
"2","11","4","7","3","6","1","5","9","8","10","nan","nan"
"8","11","3","1","10","4","2","6","9","7","5","nan","nan"
"11","2","1","5","10","8","4","6","3","skipped","skipped","nan","nan"
"4","7","8","1","11","10","5","3","2","9","6","nan","nan"
"3","11","9","8","2","1","4","6","7","5","10","nan","nan"
"11","5","3","4","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","11","1","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","11","10","4","1","6","5","7","2","3","9","nan","nan"
"5","11","6","3","10","9","4","1","2","8","7","nan","nan"
"11","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","11","5","9","10","7","1","8","3","2","4","nan","nan"
"3","11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","6","5","1","2","4","skipped","skipped","skipped","skipped","nan","nan"
"5","11","10","3","4","1","2","6","skipped","skipped","skipped","nan","nan"
"10","11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","5","3","6","1","2","4","skipped","skipped","skipped","skipped","nan","nan"
"5","11","3","4","6","1","2","skipped","skipped","skipped","skipped","nan","nan"
"4","10","7","1","8","9","6","11","3","5","2","nan","nan"
"8","11","5","1","4","10","7","2","6","3","9","nan","nan"
"8","11","9","1","10","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
