"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","Num Cands","Num Seats"
"15","1","3","2","5","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","15.0","1.0"
"8","3","2","5","15","1","4","9","10","12","6","11","7","skipped","skipped","nan","nan"
"2","1","15","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","13","15","2","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","1","15","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","4","2","15","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","1","15","2","3","6","8","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","4","5","14","9","7","2","11","15","6","12","3","10","13","nan","nan"
"15","1","4","11","6","5","10","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","5","2","15","9","8","3","10","7","1","skipped","skipped","skipped","skipped","nan","nan"
"3","8","4","13","12","6","5","10","11","1","15","14","7","9","2","nan","nan"
"15","1","4","2","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","8","2","9","11","7","4","3","13","5","6","15","skipped","skipped","nan","nan"
"1","3","6","4","5","15","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","6","5","1","15","2","7","8","14","3","4","skipped","skipped","skipped","skipped","nan","nan"
"1","15","2","3","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","4","7","15","3","8","5","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","3","10","2","13","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","11","3","15","5","9","4","8","10","6","7","skipped","skipped","skipped","nan","nan"
"15","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","15","7","2","5","8","3","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","15","14","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","1","2","15","13","6","5","14","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","11","1","15","3","13","4","7","12","2","10","9","5","14","nan","nan"
"7","2","1","12","5","3","15","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","6","10","7","4","14","2","12","13","9","3","8","15","skipped","nan","nan"
