"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","Num Cands","Num Seats"
"14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","14.0","1.0"
"8","2","6","11","1","13","7","5","4","12","9","3","14","10","nan","nan"
"12","8","4","7","1","14","6","5","2","9","3","10","11","skipped","nan","nan"
"8","5","4","10","1","13","9","6","3","14","7","2","12","11","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","5","11","1","14","7","6","2","13","9","3","8","12","nan","nan"
"8","10","4","9","1","13","5","6","2","12","7","3","14","11","nan","nan"
"8","5","4","7","1","14","6","9","3","13","10","2","12","11","nan","nan"
"9","5","4","10","1","12","7","6","3","11","8","2","13","14","nan","nan"
"9","5","4","10","1","14","6","7","2","13","8","3","12","11","nan","nan"
"8","7","3","10","1","14","6","5","2","13","9","4","12","11","nan","nan"
"9","6","4","10","1","13","7","5","2","14","8","3","12","11","nan","nan"
"8","4","5","10","1","14","7","6","2","9","3","12","11","skipped","nan","nan"
"8","6","4","10","1","14","7","5","2","9","3","12","11","skipped","nan","nan"
"14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","4","9","1","14","6","8","3","10","2","11","12","skipped","nan","nan"
"9","6","4","11","1","13","5","7","3","14","8","2","12","10","nan","nan"
"11","8","3","10","1","13","7","6","4","14","5","2","9","12","nan","nan"
"9","6","4","11","1","14","5","8","2","13","7","3","12","10","nan","nan"
"9","5","4","10","1","14","8","6","2","13","7","3","12","11","nan","nan"
"11","12","6","13","3","2","8","7","4","1","9","5","14","10","nan","nan"
"9","6","4","10","1","13","8","3","2","14","7","5","12","11","nan","nan"
"7","9","10","6","13","1","14","5","12","2","8","11","4","3","nan","nan"
"9","5","4","14","1","10","6","7","3","11","8","2","12","13","nan","nan"
"8","5","3","10","1","14","6","7","2","13","9","4","11","12","nan","nan"
"5","9","3","10","1","14","7","6","4","13","8","2","11","12","nan","nan"
"8","5","4","10","1","14","6","7","2","13","9","3","11","12","nan","nan"
"10","7","4","11","1","14","6","5","2","8","3","12","9","skipped","nan","nan"
"12","9","5","3","1","11","8","13","2","10","6","4","14","7","nan","nan"
"11","8","6","13","3","2","9","7","5","1","10","4","14","12","nan","nan"
"3","14","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","5","10","1","13","7","6","2","14","9","3","12","11","nan","nan"
"5","6","3","11","1","14","8","7","2","13","9","4","12","10","nan","nan"
"2","10","9","7","12","1","5","8","14","3","4","13","6","skipped","nan","nan"
"5","8","4","13","1","11","7","6","2","10","9","3","12","14","nan","nan"
"9","3","6","10","1","14","8","5","4","13","7","2","12","11","nan","nan"
"8","9","6","12","1","2","10","7","5","3","11","4","13","14","nan","nan"
"8","10","4","9","1","13","5","3","14","6","2","12","11","skipped","nan","nan"
"14","3","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
