ballotID,Precinct,Ballot Style,rank1,rank2,rank3,Num cands,Num seats
500001,491113,UOCAVA,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
500002,491113,UOCAVA,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
500003,491113,UOCAVA,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
500004,491113,UOCAVA,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
500005,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
500006,491113,UOCAVA,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
500007,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.",skipped,3,1
500008,491113,UOCAVA,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
500009,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
500010,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
500011,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
500012,Brunswick,Unscanned,"Perreault, Corinne Ann",skipped,skipped,3,1
500013,Brunswick,Unscanned,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
500014,Brunswick,Unscanned,"Perreault, Corinne Ann",skipped,skipped,3,1
500015,Brunswick,Unscanned,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
500016,Brunswick,Unscanned,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151046,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151062,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151067,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151068,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151084,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151094,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151099,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151100,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151133,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151137,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151148,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151155,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151162,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151167,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151169,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151171,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151174,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy",skipped,3,1
151185,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151189,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151194,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy",skipped,3,1
151200,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151203,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151209,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151216,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151271,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151276,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151284,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151285,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151286,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151298,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151301,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151307,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151313,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151321,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151335,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151349,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy",skipped,3,1
151357,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151359,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151366,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151368,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151369,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151380,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151387,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151392,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151407,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151416,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151423,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann",skipped,skipped,3,1
151430,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151431,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151452,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151453,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151455,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151457,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151463,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151465,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151466,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151467,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann",skipped,skipped,3,1
151469,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151490,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151495,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151501,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann",skipped,skipped,3,1
151511,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151514,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151524,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151538,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151544,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151545,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151546,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151556,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151560,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151590,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151594,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151610,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151622,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151626,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151640,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151662,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151665,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151671,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151681,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151691,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151708,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151733,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151736,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151743,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151744,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151748,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151751,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151756,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151761,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151762,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",3,1
151775,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151776,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151778,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151790,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151797,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151798,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151802,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151804,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151828,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151832,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann",skipped,3,1
151856,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151863,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151867,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151879,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151881,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151890,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.",skipped,3,1
151893,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151895,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151902,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy",skipped,3,1
151913,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.",skipped,skipped,3,1
151918,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151920,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151924,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151930,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",3,1
151932,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151933,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151934,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151936,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy",skipped,3,1
151942,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151943,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann",skipped,skipped,3,1
151945,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151947,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",3,1
151949,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",3,1
151950,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",3,1
151954,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
151963,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,3,1
151968,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",3,1
