ballotID,Precinct,Ballot Style,rank1,rank2,rank3,Num cands,Num seats
800001,Portland,Unscanned,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
800002,Portland,Unscanned,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",3,1
800003,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,3,1
800004,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
800005,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,3,1
800006,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
800007,Portland,Unscanned,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
800008,Portland,Unscanned,"Zager, Samuel Lewis",skipped,skipped,3,1
800009,Portland,Unscanned,"Grant, Benjamin K.",skipped,skipped,3,1
800010,Portland,Unscanned,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
800011,Portland,Unscanned,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
800014,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
800015,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
800016,Portland,Unscanned,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
800017,Portland,Unscanned,"Zager, Samuel Lewis",skipped,skipped,3,1
800018,Portland,Unscanned,"Zager, Samuel Lewis",skipped,skipped,3,1
800019,Portland,Unscanned,"Zager, Samuel Lewis","Grant, Benjamin K.",skipped,3,1
800020,Portland,Unscanned,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
800021,Portland,Unscanned,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
800022,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
800023,UOCAVA,Unscanned,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
800050,496313,UOCAVA,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,3,1
800051,496317,UOCAVA,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",3,1
800052,496313,UOCAVA,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
800053,496317,UOCAVA,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",3,1
800054,496513,UOCAVA,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
800055,496313,UOCAVA,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
800056,496313,UOCAVA,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
800058,496317,UOCAVA,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",3,1
162604,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162607,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162612,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162617,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162623,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162634,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162644,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",3,1
162645,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",3,1
162647,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",3,1
162652,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162653,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Davis, Laurie J.",skipped,3,1
162655,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162656,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162659,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.",skipped,skipped,3,1
162660,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162662,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162663,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162666,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162669,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162670,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162672,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162684,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162685,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162688,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162691,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162701,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162707,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162710,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162713,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162716,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162720,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162734,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,3,1
162740,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Davis, Laurie J.",skipped,3,1
162742,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162746,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162749,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162756,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162768,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162771,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
162777,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162780,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162781,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,3,1
162784,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162792,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162805,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162808,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162809,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",3,1
162811,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
162814,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162815,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,3,1
162816,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162817,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",3,1
162819,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
162821,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162822,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",3,1
162823,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",3,1
162827,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",3,1
162829,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,3,1
162831,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",3,1
162834,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",3,1
