ballotID,Precinct,Ballot Style,rank1,rank2,rank3,Num cands,Num seats
171157,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
171166,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
171167,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
171168,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
171176,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
171177,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
171180,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
171184,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",3,1
171189,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,3,1
171190,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",3,1
171196,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
171199,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
171212,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
171213,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",3,1
171223,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,3,1
171231,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",3,1
171236,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",3,1
