ballotID,Precinct,Ballot Style,rank1,rank2,rank3,Num cands,Num seats
300500,Islesboro,Unscanned,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",3,1
300501,Searsmont,Unscanned,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",3,1
300502,Searsport,Unscanned,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
300503,Searsport,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
300504,Swanville,Unscanned,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
300505,Unity,Unscanned,"Curry, Glenn Chip","Stanicki, Robyn M.",skipped,3,1
300506,Belfast W1,Unscanned,"Curry, Glenn Chip",skipped,skipped,3,1
300507,Belfast W2,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
300508,Brooks,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
300509,Freedom,Unscanned,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",3,1
300510,Jackson,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.",skipped,3,1
300511,Jackson,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
300512,Liberty,Unscanned,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",3,1
300513,Troy,Unscanned,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",3,1
300514,Belfast W1,Unscanned,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",3,1
300515,Belfast W1,Unscanned,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",3,1
300516,UOCAVA,Unscanned,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
300000,408111,UOCAVA,"Pattavina, Charles F.",skipped,skipped,3,1
300001,397111,UOCAVA,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",3,1
300002,392111,UOCAVA,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
300004,400111,UOCAVA,"Curry, Glenn Chip","Pattavina, Charles F.",skipped,3,1
300005,395111,UOCAVA,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
300006,390111,UOCAVA,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M.",3,1
300007,517111,UOCAVA,"Curry, Glenn Chip","Pattavina, Charles F.",skipped,3,1
300008,401111,UOCAVA,"Stanicki, Robyn M.",skipped,skipped,3,1
300009,408111,UOCAVA,"Pattavina, Charles F.",skipped,skipped,3,1
300010,406111,UOCAVA,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
300011,401111,UOCAVA,"Stanicki, Robyn M.",skipped,skipped,3,1
22186,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped,3,1
22190,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M.",3,1
22191,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",3,1
22192,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped,3,1
22197,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.",skipped,skipped,3,1
22198,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,3,1
22199,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
22204,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
22214,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22215,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22217,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",3,1
22219,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22223,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.",skipped,skipped,3,1
22226,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,3,1
22227,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",3,1
22231,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22239,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",3,1
22241,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,3,1
22242,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped,3,1
22243,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,3,1
22244,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip",skipped,3,1
22245,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip",skipped,3,1
22246,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22256,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",3,1
22259,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22260,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22263,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",3,1
22265,Lincolnville,DEM Ballot Style 41,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",3,1
