file,numCands,irv,plurality,plurality_runoff,borda_pm,borda_om_no_uwi,borda_avg_no_uwi,borda_trunc_points_scheme,condorcet,minimax,smith_set,bucklin
scotland/processed_data/dumgal17-ballots/Nith_dumgal17-09.csv,10,['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)']
scotland/processed_data/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,7,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)']
scotland/processed_data/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,5,['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Gail MACGREGOR (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)'],['Doug FAIRBAIRN (Con)']
scotland/processed_data/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,9,['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)'],['Jim MCCOLM (Ind)'],['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)'],['David INGLIS (Con)']
scotland/processed_data/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,6,['Iain HOWIE (Ind)'],['David JAMES (Con)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['David JAMES (Con)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['David JAMES (Con)']
scotland/processed_data/dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,7,['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['David MCKIE (Lab)'],['David MCKIE (Lab)'],['David MCKIE (Lab)'],['Graham BELL (Con)'],['David MCKIE (Lab)'],['David MCKIE (Lab)'],['David MCKIE (Lab)'],['Graham BELL (Con)']
scotland/processed_data/dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,9,['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Jane MAITLAND (Ind)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)']
scotland/processed_data/dumgal17-ballots/Lochar_dumgal17-08.csv,9,['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)']
scotland/processed_data/dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,6,['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)']
scotland/processed_data/dumgal17-ballots/Abbey_dumgal17-05.csv,7,['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Davie STITT (Lab)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)']
scotland/processed_data/dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,5,['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)'],['Jim DEMPSTER (Lab)']
scotland/processed_data/dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,8,['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)']
"scotland/processed_data/w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv",9,['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)']
scotland/processed_data/w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,7,['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)']
