voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
2010,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
2011,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2012,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2013,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2014,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2015,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2016,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2017,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2018,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2019,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2020,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2021,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2022,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2023,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2024,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2025,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2026,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2027,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2028,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2029,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2030,Willie SCOBIE Independent,Tommy SLOAN Independent,Peter Richard BARLOW Scottish Green Party,skipped,skipped,skipped,skipped,4
2031,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,skipped,skipped,4
2032,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2033,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2034,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2035,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2036,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2037,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2038,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,4
2039,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,4
2040,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,Willie SCOBIE Independent,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,4
2041,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,4
2042,Willie SCOBIE Independent,Tommy SLOAN Independent,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
2043,Willie SCOBIE Independent,Tommy SLOAN Independent,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,4
2044,Tommy SLOAN Independent,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,skipped,skipped,skipped,4
2045,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2046,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2047,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2048,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2049,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
