Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,numSeats,numCands
ST LOUIS PARK W-3 P-09,22019,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-09,22020,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-09,22021,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-09,22022,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-09,22023,ST LOUIS PARK W-3 P-09,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22024,ST LOUIS PARK W-3 P-09,Saul Eugene,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-09,22025,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-09,22026,ST LOUIS PARK W-3 P-09,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-09,22027,ST LOUIS PARK W-3 P-09,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22028,ST LOUIS PARK W-3 P-09,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-09,22030,ST LOUIS PARK W-3 P-09,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22031,ST LOUIS PARK W-3 P-09,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-09,22032,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-09,22033,ST LOUIS PARK W-3 P-09,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-09,22034,ST LOUIS PARK W-3 P-09,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22035,ST LOUIS PARK W-3 P-09,Jim Leuthner,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-09,22036,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-09,22037,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-09,22038,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-09,22039,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-09,22040,ST LOUIS PARK W-3 P-09,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-09,22041,ST LOUIS PARK W-3 P-09,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22042,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-09,22043,ST LOUIS PARK W-3 P-09,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22044,ST LOUIS PARK W-3 P-09,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22045,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-09,22046,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22047,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22048,ST LOUIS PARK W-3 P-10,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22049,ST LOUIS PARK W-3 P-10,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-10,22050,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22051,ST LOUIS PARK W-3 P-10,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22052,ST LOUIS PARK W-3 P-10,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-10,22053,ST LOUIS PARK W-3 P-10,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-10,22054,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22055,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22056,ST LOUIS PARK W-3 P-10,Saul Eugene,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-10,22058,ST LOUIS PARK W-3 P-10,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22059,ST LOUIS PARK W-3 P-10,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22060,ST LOUIS PARK W-3 P-10,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22061,ST LOUIS PARK W-3 P-10,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22062,ST LOUIS PARK W-3 P-10,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-10,22063,ST LOUIS PARK W-3 P-10,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-10,22064,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22065,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22066,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22067,ST LOUIS PARK W-3 P-10,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22068,ST LOUIS PARK W-3 P-10,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-10,22070,ST LOUIS PARK W-3 P-10,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-10,22071,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22072,ST LOUIS PARK W-3 P-10,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22073,ST LOUIS PARK W-3 P-10,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-10,22074,ST LOUIS PARK W-3 P-10,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-11,22075,ST LOUIS PARK W-3 P-11,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-11,22076,ST LOUIS PARK W-3 P-11,Saul Eugene,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-11,22077,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22078,ST LOUIS PARK W-3 P-11,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-11,22079,ST LOUIS PARK W-3 P-11,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-11,22080,ST LOUIS PARK W-3 P-11,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-11,22081,ST LOUIS PARK W-3 P-11,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-11,22082,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22083,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22084,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22085,ST LOUIS PARK W-3 P-11,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-11,22086,ST LOUIS PARK W-3 P-11,Jim Leuthner,writein,skipped,1,4
ST LOUIS PARK W-3 P-11,22087,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22088,ST LOUIS PARK W-3 P-11,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-11,22089,ST LOUIS PARK W-3 P-11,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-11,22090,ST LOUIS PARK W-3 P-11,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-11,22091,ST LOUIS PARK W-3 P-11,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-11,22092,ST LOUIS PARK W-3 P-11,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-11,22093,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22094,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22095,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22096,ST LOUIS PARK W-3 P-11,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22097,ST LOUIS PARK W-3 P-11,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-11,22098,ST LOUIS PARK W-3 P-11,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-11,22099,ST LOUIS PARK W-3 P-11,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-11,22100,ST LOUIS PARK W-3 P-11,Saul Eugene,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,22101,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22102,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22103,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,22104,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22105,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22106,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22107,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22108,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22109,ST LOUIS PARK W-3 P-12,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,22110,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22111,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22112,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22113,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22114,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-12,22115,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22116,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22117,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22118,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22119,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,22120,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22121,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22122,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22123,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-12,22124,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22125,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22126,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22127,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22128,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,22129,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22130,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,22131,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22132,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,22133,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22134,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22136,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22137,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22138,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22139,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22140,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22141,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22142,ST LOUIS PARK W-3 P-12,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22143,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,22144,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22145,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22146,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22147,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-12,22148,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22149,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22150,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22151,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,22152,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22153,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22154,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-12,22155,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22156,ST LOUIS PARK W-3 P-12,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,22157,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,22158,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-10,22216,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-10,22217,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22218,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
