file,candidate_cloned,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,JENVEY Susan,3,['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,HOBAN Rhonda,3,['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)'],['HOBAN Rhonda (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,SCOTT Linda,7,['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,JARRETT Shauna,7,['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,WELDON Yvonne,7,['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,ELLSMORE Sylvie,7,['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)'],['MOORE Clover (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,HEALEY Patrick,7,['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,GRINDON-EKINS Vanessa,7,['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,COOK Darlene,7,['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,ROB Big,7,['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)']
