file,candidate_cloned,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/dumgal17-ballots/Nith_dumgal17-09.csv,John MARTIN (Lab),11,['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Elaine MURRAY (Lab),11,['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Malcolm JOHNSTONE (Con),11,['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)']
/dumgal17-ballots/Nith_dumgal17-09.csv,Alastair WITTS (SNP),11,['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['John CAMPBELL (SNP)'],['Elaine MURRAY (Lab)'],['Malcolm JOHNSTONE (Con)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)'],['Elaine MURRAY (Lab)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Sean MARSHALL (Lab),8,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Sean MARSHALL (Lab)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Allan WEILD (Ind),8,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Ronnie OGILVIE (Lab),8,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Richard BRODIE (LD),8,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Ian CARRUTHERS (Con),8,['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,Peter James Gavin MCKAIN (Libtn),8,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
