,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,35610,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
1,Enrolment/NAMAV,Enrolment/NAMAV,35611,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
2,Enrolment/NAMAV,Enrolment/NAMAV,35612,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
3,Enrolment/NAMAV,Enrolment/NAMAV,35613,Formal,MP,TAYLOR Tanya,CAMPBELL Craig,ROZOS Angelo,1,3
4,Enrolment/NAMAV,Enrolment/NAMAV,35614,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
5,Enrolment/NAMAV,Enrolment/NAMAV,35615,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
6,Enrolment/NAMAV,Enrolment/NAMAV,35616,Formal,MP,TAYLOR Tanya,ROZOS Angelo,skipped,1,3
7,Enrolment/NAMAV,Enrolment/NAMAV,35617,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
8,Enrolment/NAMAV,Enrolment/NAMAV,35618,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
9,Enrolment/NAMAV,Enrolment/NAMAV,35619,Formal,MP,TAYLOR Tanya,ROZOS Angelo,skipped,1,3
10,Enrolment/NAMAV,Enrolment/NAMAV,35620,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
11,Enrolment/NAMAV,Enrolment/NAMAV,35621,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
12,Enrolment/NAMAV,Enrolment/NAMAV,35622,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
13,Enrolment/NAMAV,Enrolment/NAMAV,35623,Formal,MP,TAYLOR Tanya,CAMPBELL Craig,skipped,1,3
14,Enrolment/NAMAV,Enrolment/NAMAV,35624,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
15,Enrolment/NAMAV,Enrolment/NAMAV,35625,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
16,Enrolment/NAMAV,Enrolment/NAMAV,35626,Formal,MP,TAYLOR Tanya,ROZOS Angelo,CAMPBELL Craig,1,3
17,Enrolment/NAMAV,Enrolment/NAMAV,35627,Formal,MP,TAYLOR Tanya,CAMPBELL Craig,ROZOS Angelo,1,3
18,Enrolment/NAMAV,Enrolment/NAMAV,35628,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
19,Enrolment/NAMAV,Enrolment/NAMAV,35629,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
20,Enrolment/NAMAV,Enrolment/NAMAV,35630,Formal,MP,TAYLOR Tanya,ROZOS Angelo,CAMPBELL Craig,1,3
21,Enrolment/NAMAV,Enrolment/NAMAV,35631,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
22,Enrolment/NAMAV,Enrolment/NAMAV,35632,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
23,Enrolment/NAMAV,Enrolment/NAMAV,35633,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
24,Enrolment/NAMAV,Enrolment/NAMAV,35634,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
25,Enrolment/NAMAV,Enrolment/NAMAV,35635,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
26,Enrolment/NAMAV,Enrolment/NAMAV,35636,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
27,Enrolment/NAMAV,Enrolment/NAMAV,35637,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
28,Enrolment/NAMAV,Enrolment/NAMAV,35638,Formal,MP,TAYLOR Tanya,CAMPBELL Craig,skipped,1,3
29,Enrolment/NAMAV,Enrolment/NAMAV,35639,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
30,Enrolment/NAMAV,Enrolment/NAMAV,35640,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
31,Enrolment/NAMAV,Enrolment/NAMAV,35641,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
32,Enrolment/NAMAV,Enrolment/NAMAV,35642,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
33,Enrolment/NAMAV,Enrolment/NAMAV,35643,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
34,Enrolment/NAMAV,Enrolment/NAMAV,35644,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
35,Enrolment/NAMAV,Enrolment/NAMAV,35645,Formal,MP,TAYLOR Tanya,CAMPBELL Craig,ROZOS Angelo,1,3
36,Enrolment/NAMAV,Enrolment/NAMAV,35646,Formal,MP,TAYLOR Tanya,CAMPBELL Craig,ROZOS Angelo,1,3
37,Enrolment/NAMAV,Enrolment/NAMAV,35647,Formal,MP,TAYLOR Tanya,ROZOS Angelo,CAMPBELL Craig,1,3
38,Enrolment/NAMAV,Enrolment/NAMAV,35648,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
39,Enrolment/NAMAV,Enrolment/NAMAV,35649,Formal,MP,TAYLOR Tanya,skipped,skipped,1,3
