,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,10549,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
1,Enrolment/NAMAV,Enrolment/NAMAV,10550,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
2,Enrolment/NAMAV,Enrolment/NAMAV,10551,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
3,Enrolment/NAMAV,Enrolment/NAMAV,10552,Formal,MP,KENNEDY Tom,TURLEY Darriea,GALLAGHER Dave,1,3
4,Enrolment/NAMAV,Enrolment/NAMAV,10553,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
5,Enrolment/NAMAV,Enrolment/NAMAV,10554,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
6,Enrolment/NAMAV,Enrolment/NAMAV,10555,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
7,Enrolment/NAMAV,Enrolment/NAMAV,10556,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
8,Enrolment/NAMAV,Enrolment/NAMAV,10557,Formal,MP,KENNEDY Tom,GALLAGHER Dave,TURLEY Darriea,1,3
9,Enrolment/NAMAV,Enrolment/NAMAV,10558,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
10,Enrolment/NAMAV,Enrolment/NAMAV,10559,Formal,MP,KENNEDY Tom,TURLEY Darriea,GALLAGHER Dave,1,3
11,Enrolment/NAMAV,Enrolment/NAMAV,10560,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
12,Enrolment/NAMAV,Enrolment/NAMAV,10561,Formal,MP,KENNEDY Tom,TURLEY Darriea,GALLAGHER Dave,1,3
13,Enrolment/NAMAV,Enrolment/NAMAV,10562,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
14,Enrolment/NAMAV,Enrolment/NAMAV,10563,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
15,Enrolment/NAMAV,Enrolment/NAMAV,10564,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
16,Enrolment/NAMAV,Enrolment/NAMAV,10565,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
17,Enrolment/NAMAV,Enrolment/NAMAV,10566,Formal,MP,KENNEDY Tom,GALLAGHER Dave,TURLEY Darriea,1,3
18,Enrolment/NAMAV,Enrolment/NAMAV,10567,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
19,Enrolment/NAMAV,Enrolment/NAMAV,10568,Formal,MP,KENNEDY Tom,GALLAGHER Dave,skipped,1,3
20,Enrolment/NAMAV,Enrolment/NAMAV,10569,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
21,Enrolment/NAMAV,Enrolment/NAMAV,10570,Formal,MP,KENNEDY Tom,GALLAGHER Dave,TURLEY Darriea,1,3
22,Enrolment/NAMAV,Enrolment/NAMAV,10571,Formal,MP,KENNEDY Tom,GALLAGHER Dave,TURLEY Darriea,1,3
23,Enrolment/NAMAV,Enrolment/NAMAV,10572,Formal,MP,KENNEDY Tom,GALLAGHER Dave,TURLEY Darriea,1,3
24,Enrolment/NAMAV,Enrolment/NAMAV,10573,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
25,Enrolment/NAMAV,Enrolment/NAMAV,10574,Formal,MP,GALLAGHER Dave,KENNEDY Tom,TURLEY Darriea,1,3
26,Enrolment/NAMAV,Enrolment/NAMAV,10575,Formal,MP,GALLAGHER Dave,KENNEDY Tom,TURLEY Darriea,1,3
27,Enrolment/NAMAV,Enrolment/NAMAV,10576,Formal,MP,GALLAGHER Dave,KENNEDY Tom,TURLEY Darriea,1,3
28,Enrolment/NAMAV,Enrolment/NAMAV,10577,Formal,MP,GALLAGHER Dave,KENNEDY Tom,TURLEY Darriea,1,3
29,Enrolment/NAMAV,Enrolment/NAMAV,10578,Formal,MP,GALLAGHER Dave,KENNEDY Tom,TURLEY Darriea,1,3
30,Enrolment/NAMAV,Enrolment/NAMAV,10579,Formal,MP,GALLAGHER Dave,TURLEY Darriea,KENNEDY Tom,1,3
31,Enrolment/NAMAV,Enrolment/NAMAV,10580,Formal,MP,GALLAGHER Dave,skipped,skipped,1,3
32,Enrolment/NAMAV,Enrolment/NAMAV,10581,Formal,MP,GALLAGHER Dave,TURLEY Darriea,KENNEDY Tom,1,3
33,Enrolment/NAMAV,Enrolment/NAMAV,10582,Formal,MP,GALLAGHER Dave,KENNEDY Tom,TURLEY Darriea,1,3
34,Enrolment/NAMAV,Enrolment/NAMAV,10583,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
35,Enrolment/NAMAV,Enrolment/NAMAV,10584,Formal,MP,KENNEDY Tom,TURLEY Darriea,GALLAGHER Dave,1,3
36,Enrolment/NAMAV,Enrolment/NAMAV,10585,Formal,MP,KENNEDY Tom,GALLAGHER Dave,TURLEY Darriea,1,3
37,Enrolment/NAMAV,Enrolment/NAMAV,10586,Formal,MP,KENNEDY Tom,skipped,skipped,1,3
