,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,45938,Formal,MP,ANDERSON Leah,skipped,1,2
1,Enrolment/NAMAV,Enrolment/NAMAV,45939,Formal,MP,ANDERSON Leah,skipped,1,2
2,Enrolment/NAMAV,Enrolment/NAMAV,45940,Formal,MP,ANDERSON Leah,skipped,1,2
3,Enrolment/NAMAV,Enrolment/NAMAV,45941,Formal,MP,ANDERSON Leah,skipped,1,2
4,Enrolment/NAMAV,Enrolment/NAMAV,45942,Formal,MP,ANDERSON Leah,skipped,1,2
5,Enrolment/NAMAV,Enrolment/NAMAV,45943,Formal,MP,ANDERSON Leah,skipped,1,2
6,Enrolment/NAMAV,Enrolment/NAMAV,45944,Formal,MP,ANDERSON Leah,skipped,1,2
7,Enrolment/NAMAV,Enrolment/NAMAV,45945,Formal,MP,ANDERSON Leah,skipped,1,2
8,Enrolment/NAMAV,Enrolment/NAMAV,45946,Formal,MP,ANDERSON Leah,skipped,1,2
9,Enrolment/NAMAV,Enrolment/NAMAV,45947,Formal,MP,ANDERSON Leah,skipped,1,2
10,Enrolment/NAMAV,Enrolment/NAMAV,45948,Formal,MP,ANDERSON Leah,skipped,1,2
11,Enrolment/NAMAV,Enrolment/NAMAV,45949,Formal,MP,ANDERSON Leah,skipped,1,2
12,Enrolment/NAMAV,Enrolment/NAMAV,45950,Formal,MP,ANDERSON Leah,skipped,1,2
13,Enrolment/NAMAV,Enrolment/NAMAV,45951,Formal,MP,ANDERSON Leah,skipped,1,2
14,Enrolment/NAMAV,Enrolment/NAMAV,45952,Formal,MP,ANDERSON Leah,skipped,1,2
15,Enrolment/NAMAV,Enrolment/NAMAV,45953,Formal,MP,ANDERSON Leah,skipped,1,2
16,Enrolment/NAMAV,Enrolment/NAMAV,45954,Formal,MP,ANDERSON Leah,skipped,1,2
17,Enrolment/NAMAV,Enrolment/NAMAV,45955,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
18,Enrolment/NAMAV,Enrolment/NAMAV,45956,Formal,MP,ANDERSON Leah,skipped,1,2
19,Enrolment/NAMAV,Enrolment/NAMAV,45957,Formal,MP,ANDERSON Leah,skipped,1,2
20,Enrolment/NAMAV,Enrolment/NAMAV,45958,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
21,Enrolment/NAMAV,Enrolment/NAMAV,45959,Formal,MP,ANDERSON Leah,skipped,1,2
22,Enrolment/NAMAV,Enrolment/NAMAV,45960,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
23,Enrolment/NAMAV,Enrolment/NAMAV,45961,Formal,MP,ANDERSON Leah,skipped,1,2
24,Enrolment/NAMAV,Enrolment/NAMAV,45962,Formal,MP,ANDERSON Leah,skipped,1,2
25,Enrolment/NAMAV,Enrolment/NAMAV,45963,Formal,MP,ANDERSON Leah,skipped,1,2
26,Enrolment/NAMAV,Enrolment/NAMAV,45964,Formal,MP,ANDERSON Leah,skipped,1,2
27,Enrolment/NAMAV,Enrolment/NAMAV,45965,Formal,MP,ANDERSON Leah,skipped,1,2
28,Enrolment/NAMAV,Enrolment/NAMAV,45966,Formal,MP,ANDERSON Leah,skipped,1,2
29,Enrolment/NAMAV,Enrolment/NAMAV,45967,Formal,MP,ANDERSON Leah,skipped,1,2
30,Enrolment/NAMAV,Enrolment/NAMAV,45968,Formal,MP,ANDERSON Leah,skipped,1,2
31,Enrolment/NAMAV,Enrolment/NAMAV,45969,Formal,MP,ANDERSON Leah,skipped,1,2
32,Enrolment/NAMAV,Enrolment/NAMAV,45970,Formal,MP,ANDERSON Leah,skipped,1,2
33,Enrolment/NAMAV,Enrolment/NAMAV,45971,Formal,MP,ANDERSON Leah,skipped,1,2
34,Enrolment/NAMAV,Enrolment/NAMAV,45972,Formal,MP,ANDERSON Leah,skipped,1,2
35,Enrolment/NAMAV,Enrolment/NAMAV,45973,Formal,MP,ANDERSON Leah,skipped,1,2
36,Enrolment/NAMAV,Enrolment/NAMAV,45974,Formal,MP,ANDERSON Leah,skipped,1,2
37,Enrolment/NAMAV,Enrolment/NAMAV,45975,Formal,MP,ANDERSON Leah,skipped,1,2
38,Enrolment/NAMAV,Enrolment/NAMAV,45976,Formal,MP,ANDERSON Leah,skipped,1,2
39,Enrolment/NAMAV,Enrolment/NAMAV,45977,Formal,MP,ANDERSON Leah,skipped,1,2
