VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
Enrolment/NAMAV,Enrolment/NAMAV,25072,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25073,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,JOHNSTON Eoin,MCCARTHY Steve,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25074,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25075,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25076,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25077,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25078,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,WILLIAMS Keith,MCCARTHY Steve,JOHNSTON Eoin,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25079,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25080,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25081,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25082,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,MCCARTHY Steve,CADWALLADER Sharon,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25083,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25084,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25085,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25086,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25087,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25088,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,JOHNSTON Eoin,CADWALLADER Sharon,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25089,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25090,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25091,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25092,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25093,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25094,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25095,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25096,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25097,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25098,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25099,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25100,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25101,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25102,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25103,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25104,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25105,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25106,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25107,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25108,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25109,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25110,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,MCCARTHY Steve,JOHNSTON Eoin,CADWALLADER Sharon,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25111,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25112,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,CADWALLADER Sharon,JOHNSTON Eoin,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25113,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25114,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25115,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25116,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
