VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,rank7
Enrolment/NAMAV,Enrolment/NAMAV,24569,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24570,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24571,Formal,MP,HATCHER Mat,SMITH Gary,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24572,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24573,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24574,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24575,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24576,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24577,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24578,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24579,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24580,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24581,Formal,MP,HATCHER Mat,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24582,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24583,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24584,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24585,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24586,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24587,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24588,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24589,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24590,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24591,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24592,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24593,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24594,Formal,MP,HATCHER Mat,SMITH Gary,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24595,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24596,Formal,MP,HATCHER Mat,STARMER Karyn,HARRISON N (Tubby),skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24597,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24598,Formal,MP,HATCHER Mat,WORTHINGTON Alison,GRACE David,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),SMITH Gary
Enrolment/NAMAV,Enrolment/NAMAV,24599,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24600,Formal,MP,HATCHER Mat,WORTHINGTON Alison,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob
Enrolment/NAMAV,Enrolment/NAMAV,24601,Formal,MP,HATCHER Mat,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24602,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24603,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24604,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24605,Formal,MP,HATCHER Mat,WORTHINGTON Alison,GRACE David,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,POLLOCK Rob
Enrolment/NAMAV,Enrolment/NAMAV,24606,Formal,MP,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn
Enrolment/NAMAV,Enrolment/NAMAV,24607,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24608,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24609,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
