VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2
Enrolment/NAMAV,Enrolment/NAMAV,12717,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12718,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12719,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12720,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12721,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12722,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12723,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12724,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12725,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12726,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12727,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12728,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12729,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12730,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12731,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12732,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12733,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12734,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12735,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12736,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12737,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12738,Formal,MP,HAYES Robert,skipped
