VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6
Enrolment/NAMAV,Enrolment/NAMAV,28843,Formal,MP,KHAN Robert,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28844,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28845,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28846,Formal,MP,KHAN Robert,HANNAN Judy,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28847,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28848,Formal,MP,KHAN Robert,DEETH Matthew,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28849,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28850,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28851,Formal,MP,KHAN Robert,DEETH Matthew,HANNAN Judy,LAW Ray,GOULD Matt,BANASIK Michael
Enrolment/NAMAV,Enrolment/NAMAV,28852,Formal,MP,KHAN Robert,GOULD Matt,DEETH Matthew,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28853,Formal,MP,KHAN Robert,BANASIK Michael,LAW Ray,GOULD Matt,HANNAN Judy,DEETH Matthew
Enrolment/NAMAV,Enrolment/NAMAV,28854,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28855,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28856,Formal,MP,KHAN Robert,BANASIK Michael,GOULD Matt,DEETH Matthew,LAW Ray,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28857,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28858,Formal,MP,KHAN Robert,HANNAN Judy,BANASIK Michael,DEETH Matthew,GOULD Matt,LAW Ray
Enrolment/NAMAV,Enrolment/NAMAV,28859,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28860,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28861,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28862,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28863,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28864,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28865,Formal,MP,KHAN Robert,DEETH Matthew,BANASIK Michael,LAW Ray,GOULD Matt,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28866,Formal,MP,KHAN Robert,BANASIK Michael,DEETH Matthew,LAW Ray,GOULD Matt,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28867,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28868,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28869,Formal,MP,KHAN Robert,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28870,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28871,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28872,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28873,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28874,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28875,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28876,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28877,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28878,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28879,Formal,MP,KHAN Robert,BANASIK Michael,DEETH Matthew,LAW Ray,GOULD Matt,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28880,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
