VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5
Enrolment/NAMAV,Enrolment/NAMAV,13763,Formal,MP,CURRAN Doug,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),NAPOLI Anne,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13764,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13765,Formal,MP,CURRAN Doug,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino,MERCURI Rina
Enrolment/NAMAV,Enrolment/NAMAV,13766,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13767,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13768,Formal,MP,CURRAN Doug,ZAPPACOSTA Dino,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13769,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13770,Formal,MP,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13771,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13772,Formal,MP,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),NAPOLI Anne,MERCURI Rina,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13773,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13774,Formal,MP,CURRAN Doug,MERCURI Rina,ZAPPACOSTA Dino,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel)
Enrolment/NAMAV,Enrolment/NAMAV,13775,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13776,Formal,MP,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),NAPOLI Anne,MERCURI Rina,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13777,Formal,MP,CURRAN Doug,NAPOLI Anne,ZAPPACOSTA Dino,MERCURI Rina,LA ROCCA Mariacarmina (Carmel)
Enrolment/NAMAV,Enrolment/NAMAV,13778,Formal,MP,CURRAN Doug,ZAPPACOSTA Dino,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13779,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13780,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13781,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13782,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13783,Formal,MP,NAPOLI Anne,CURRAN Doug,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13784,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13785,Formal,MP,MERCURI Rina,NAPOLI Anne,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13786,Formal,MP,LA ROCCA Mariacarmina (Carmel),MERCURI Rina,NAPOLI Anne,ZAPPACOSTA Dino,CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13787,Formal,MP,CURRAN Doug,NAPOLI Anne,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13788,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13789,Formal,MP,CURRAN Doug,NAPOLI Anne,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13790,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13791,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13792,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13793,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13794,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
