,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,34631,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
1,Enrolment/NAMAV,Enrolment/NAMAV,34632,Formal,MP,SUVAAL Jay,MURRAY Janet,skipped,skipped,1,4
2,Enrolment/NAMAV,Enrolment/NAMAV,34633,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
3,Enrolment/NAMAV,Enrolment/NAMAV,34634,Formal,MP,SUVAAL Jay,MURRAY Janet,MOORES John,OLSEN Ian,1,4
4,Enrolment/NAMAV,Enrolment/NAMAV,34635,Formal,MP,SUVAAL Jay,MURRAY Janet,OLSEN Ian,MOORES John,1,4
5,Enrolment/NAMAV,Enrolment/NAMAV,34636,Formal,MP,SUVAAL Jay,MOORES John,OLSEN Ian,MURRAY Janet,1,4
6,Enrolment/NAMAV,Enrolment/NAMAV,34637,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
7,Enrolment/NAMAV,Enrolment/NAMAV,34638,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
8,Enrolment/NAMAV,Enrolment/NAMAV,34639,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
9,Enrolment/NAMAV,Enrolment/NAMAV,34640,Formal,MP,OLSEN Ian,MURRAY Janet,SUVAAL Jay,MOORES John,1,4
10,Enrolment/NAMAV,Enrolment/NAMAV,34641,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
11,Enrolment/NAMAV,Enrolment/NAMAV,34642,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
12,Enrolment/NAMAV,Enrolment/NAMAV,34643,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
13,Enrolment/NAMAV,Enrolment/NAMAV,34644,Formal,MP,OLSEN Ian,SUVAAL Jay,skipped,skipped,1,4
14,Enrolment/NAMAV,Enrolment/NAMAV,34645,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
15,Enrolment/NAMAV,Enrolment/NAMAV,34646,Formal,MP,OLSEN Ian,MOORES John,skipped,skipped,1,4
16,Enrolment/NAMAV,Enrolment/NAMAV,34647,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
17,Enrolment/NAMAV,Enrolment/NAMAV,34648,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
18,Enrolment/NAMAV,Enrolment/NAMAV,34649,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
