VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6
Enrolment/NAMAV,Enrolment/NAMAV,24687,Formal,MP,KRIEG Steve,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24790,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24791,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,KRIEG Steve,ROB Big
Enrolment/NAMAV,Enrolment/NAMAV,24792,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,KRIEG Steve,HEALEY Patrick,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24793,Formal,MP,COOK Darlene,KRIEG Steve,GRINDON-EKINS Vanessa,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24794,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24795,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24796,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24797,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24798,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24799,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,KRIEG Steve,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24800,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24801,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24802,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24803,Formal,MP,COOK Darlene,BIRD Elly,ROB Big,KRIEG Steve,GRINDON-EKINS Vanessa,HEALEY Patrick
Enrolment/NAMAV,Enrolment/NAMAV,24804,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24805,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24806,Formal,MP,COOK Darlene,HEALEY Patrick,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24807,Formal,MP,COOK Darlene,HEALEY Patrick,KRIEG Steve,BIRD Elly,GRINDON-EKINS Vanessa,ROB Big
