Index,rank1,rank2,rank3,rank4,numSeats,numCands
GE01,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE02,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE03,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE04,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE06,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE07,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE09,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE10,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE11,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE12,HALE ROBISON,skipped,skipped,skipped,2,3
GE13,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE14,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE15,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE16,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE17,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE18,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE19,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE20,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE21,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE22,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE23,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE24,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE26,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE27,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE29,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE30,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE31,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE32,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE33,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE34,HALE ROBISON,skipped,skipped,skipped,2,3
GE35,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE36,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE37,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE38,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE39,GRANT LUNDBERG,skipped,skipped,skipped,2,3
GE40,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE41,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE42,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE43,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE44,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE45,GRANT LUNDBERG,skipped,skipped,skipped,2,3
GE46,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE47,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE48,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE49,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE50,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE51,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE52,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE53,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE54,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE55,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE56,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE57,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE58,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE59,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE60,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE61,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE62,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE63,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE64,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE65,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE66,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE67,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE68,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE69,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE70,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE71,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE72,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE73,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE74,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE75,HALE ROBISON,skipped,skipped,skipped,2,3
