file,candidate_removed,plurality,IRV,top-two,top-3-truncation,condorcet,smith,smith-plurality,smith-irv,minimax,smith-minimax,ranked-pairs,bucklin,approval,irv-rank
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,GANGEMI Peter,{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},{'TRACEY Ryan'},"{'TRACEY Ryan', 'SHAHAMAT Vida'}",{'TRACEY Ryan'},"{'GANGEMI Peter': {'status': 'Elected', 'round': 1}, 'TRACEY Ryan': {'status': 'Remaining', 'round': 1}, 'SHAHAMAT Vida': {'status': 'Remaining', 'round': 1}, 'YAZDANI Ereboni (Alexia)': {'status': 'Remaining', 'round': 1}, 'ROZYCKI Jerzy (George)': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,YAZDANI Ereboni (Alexia),{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},{'GANGEMI Peter'},"{'GANGEMI Peter': {'status': 'Elected', 'round': 1}, 'TRACEY Ryan': {'status': 'Remaining', 'round': 1}, 'SHAHAMAT Vida': {'status': 'Remaining', 'round': 1}, 'YAZDANI Ereboni (Alexia)': {'status': 'Remaining', 'round': 1}, 'ROZYCKI Jerzy (George)': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,none,{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,JARRETT Shauna,{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,ELLSMORE Sylvie,{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,WELDON Yvonne,{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,MOORE Clover,{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},{'SCOTT Linda'},"{'WELDON Yvonne', 'JARRETT Shauna', 'SCOTT Linda', 'ELLSMORE Sylvie'}",{'SCOTT Linda'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,VITHOULKAS Angela,{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,SCOTT Linda,{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},{'MOORE Clover'},"{'MOORE Clover': {'status': 'Elected', 'round': 5}, 'SCOTT Linda': {'status': 'Remaining', 'round': 5}, 'JARRETT Shauna': {'status': 'Eliminated', 'round': 4}, 'WELDON Yvonne': {'status': 'Eliminated', 'round': 3}, 'ELLSMORE Sylvie': {'status': 'Eliminated', 'round': 2}, 'VITHOULKAS Angela': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,none,{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,HEALEY Patrick,{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,ROB Big,{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
