Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,Num cands,Num seats
ST LOUIS PARK W-2 P-05,21899,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21900,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21901,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21902,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21903,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21904,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21905,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21906,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21907,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21908,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21909,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21910,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21911,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21912,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21913,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21914,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21915,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21916,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21917,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21918,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21919,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21920,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21921,ST LOUIS PARK W-2 P-05,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-05,21922,ST LOUIS PARK W-2 P-05,John Basill,skipped,skipped,3,1
ST LOUIS PARK W-2 P-06,21923,ST LOUIS PARK W-2 P-06,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-06,21924,ST LOUIS PARK W-2 P-06,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-06,21925,ST LOUIS PARK W-2 P-06,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-06,21926,ST LOUIS PARK W-2 P-06,Lynette Lungay Dumalag,skipped,skipped,3,1
ST LOUIS PARK W-2 P-06,21927,ST LOUIS PARK W-2 P-06,Lynette Lungay Dumalag,skipped,skipped,3,1
