voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
0,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,Caroline SHIERS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,Gordon Ross CLARK Scottish Liberal Democrats,Louise RAMSAY Scottish Green Party,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),skipped,3
2,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,skipped,3
3,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),skipped,3
4,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),skipped,3
5,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),skipped,3
6,Tom MCEWAN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Louise RAMSAY Scottish Green Party,Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,3
7,Bob BRAWN Scottish Conservative and Unionist,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Caroline SHIERS Scottish Conservative and Unionist,skipped,3
8,Tom MCEWAN Scottish National Party (SNP),Caroline SHIERS Scottish Conservative and Unionist,Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Harry MACFADYEN Scottish National Party (SNP),Bob BRAWN Scottish Conservative and Unionist,Louise RAMSAY Scottish Green Party,skipped,3
9,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),skipped,3
10,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
11,Louise RAMSAY Scottish Green Party,Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),skipped,3
12,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
13,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
14,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,3
15,Gordon Ross CLARK Scottish Liberal Democrats,Bob BRAWN Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,3
16,Harry MACFADYEN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
17,Caroline SHIERS Scottish Conservative and Unionist,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Gordon Ross CLARK Scottish Liberal Democrats,Bob BRAWN Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,skipped,3
18,Harry MACFADYEN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
19,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
20,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,3
21,Caroline SHIERS Scottish Conservative and Unionist,Tom MCEWAN Scottish National Party (SNP),Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Harry MACFADYEN Scottish National Party (SNP),Bernard NOONAN Independent,skipped,3
22,Caroline SHIERS Scottish Conservative and Unionist,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Bob BRAWN Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,3
23,Caroline SHIERS Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,skipped,3
24,Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,Gordon Ross CLARK Scottish Liberal Democrats,Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),skipped,3
25,Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,3
26,Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,3
27,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,3
28,Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,Bob BRAWN Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
29,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,3
30,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,skipped,3
31,Caroline SHIERS Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Tom MCEWAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
32,Pauline HUNTER Scottish Labour Party,Gordon Ross CLARK Scottish Liberal Democrats,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),skipped,3
33,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
34,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
35,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
36,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
37,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
38,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,Louise RAMSAY Scottish Green Party,Bob BRAWN Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Caroline SHIERS Scottish Conservative and Unionist,skipped,3
39,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,skipped,3
40,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,skipped,skipped,skipped,skipped,skipped,skipped,3
41,Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,3
42,Gordon Ross CLARK Scottish Liberal Democrats,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
43,Caroline SHIERS Scottish Conservative and Unionist,Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
44,Caroline SHIERS Scottish Conservative and Unionist,Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
45,Caroline SHIERS Scottish Conservative and Unionist,Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
46,Pauline HUNTER Scottish Labour Party,Tom MCEWAN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,Harry MACFADYEN Scottish National Party (SNP),Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,3
47,Bob BRAWN Scottish Conservative and Unionist,Bernard NOONAN Independent,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
48,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),skipped,3
49,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
50,Bob BRAWN Scottish Conservative and Unionist,Tom MCEWAN Scottish National Party (SNP),Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
51,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
52,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
53,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,3
54,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Bernard NOONAN Independent,Louise RAMSAY Scottish Green Party,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,3
55,Tom MCEWAN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
56,Tom MCEWAN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
57,Tom MCEWAN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
58,Tom MCEWAN Scottish National Party (SNP),Pauline HUNTER Scottish Labour Party,Harry MACFADYEN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,3
59,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
60,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
61,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
62,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
63,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
64,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
65,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
66,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
67,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
68,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
69,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
70,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,3
71,Bob BRAWN Scottish Conservative and Unionist,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Louise RAMSAY Scottish Green Party,Caroline SHIERS Scottish Conservative and Unionist,skipped,3
72,Tom MCEWAN Scottish National Party (SNP),Harry MACFADYEN Scottish National Party (SNP),Bernard NOONAN Independent,Gordon Ross CLARK Scottish Liberal Democrats,Pauline HUNTER Scottish Labour Party,Louise RAMSAY Scottish Green Party,Bob BRAWN Scottish Conservative and Unionist,Caroline SHIERS Scottish Conservative and Unionist,"Jack MURPHY Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",skipped,3
73,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
74,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
75,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
76,Caroline SHIERS Scottish Conservative and Unionist,Bob BRAWN Scottish Conservative and Unionist,Gordon Ross CLARK Scottish Liberal Democrats,Bernard NOONAN Independent,Pauline HUNTER Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,3
77,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,3
78,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,3
79,Harry MACFADYEN Scottish National Party (SNP),Tom MCEWAN Scottish National Party (SNP),Louise RAMSAY Scottish Green Party,Gordon Ross CLARK Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,3
