Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,Num cands,Num seats
MINNETONKA W-1 P-A,26827,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26828,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26830,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26831,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral,5,1
MINNETONKA W-1 P-A,26832,MINNETONKA W-1 P-A,Jim Hadley,Stacy Cranbrook,Ash Patel,5,1
MINNETONKA W-1 P-A,26833,MINNETONKA W-1 P-A,Jim Hadley,Stacy Cranbrook,Ash Patel,5,1
MINNETONKA W-1 P-A,26834,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral,5,1
MINNETONKA W-1 P-A,26835,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26836,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26837,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26838,MINNETONKA W-1 P-A,Kimberly Wilburn,Jim Hadley,Ash Patel,5,1
MINNETONKA W-1 P-A,26839,MINNETONKA W-1 P-A,Stacy Cranbrook,skipped,skipped,5,1
MINNETONKA W-1 P-A,26840,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,Daniel Kral,5,1
MINNETONKA W-1 P-A,26841,MINNETONKA W-1 P-A,Daniel Kral,Ash Patel,Kimberly Wilburn,5,1
MINNETONKA W-1 P-A,26842,MINNETONKA W-1 P-A,Daniel Kral,Ash Patel,Kimberly Wilburn,5,1
MINNETONKA W-1 P-A,26843,MINNETONKA W-1 P-A,Kimberly Wilburn,Jim Hadley,Ash Patel,5,1
MINNETONKA W-1 P-A,26844,MINNETONKA W-1 P-A,Stacy Cranbrook,Jim Hadley,Kimberly Wilburn,5,1
MINNETONKA W-1 P-A,26845,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26846,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26848,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26849,MINNETONKA W-1 P-A,Kimberly Wilburn,Stacy Cranbrook,skipped,5,1
MINNETONKA W-1 P-A,26850,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26851,MINNETONKA W-1 P-A,Ash Patel,Kimberly Wilburn,skipped,5,1
MINNETONKA W-1 P-A,26852,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26853,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26854,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26856,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26857,MINNETONKA W-1 P-A,Daniel Kral,skipped,skipped,5,1
MINNETONKA W-1 P-A,26858,MINNETONKA W-1 P-A,Ash Patel,Stacy Cranbrook,Kimberly Wilburn,5,1
MINNETONKA W-1 P-A,26859,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
MINNETONKA W-1 P-A,26860,MINNETONKA W-1 P-A,Kimberly Wilburn,Ash Patel,skipped,5,1
MINNETONKA W-1 P-A,26861,MINNETONKA W-1 P-A,Daniel Kral,skipped,skipped,5,1
MINNETONKA W-1 P-A,26864,MINNETONKA W-1 P-A,Kimberly Wilburn,skipped,skipped,5,1
