Precinct,rank1,rank2,rank3,Num cands,Num seats
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
MINNETONKA W-3 P-C,Paula Ramaley,David Haeg,skipped,4,1
