Index,rank1,rank2,rank3,numSeats,numCands
SP01,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP02,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
SP03,MATT PACKARD,RYAN MILLER,skipped,1,3
SP04,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,1,3
SP06,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,1,3
SP07,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP08,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,1,3
SP09,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP10,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
SP11,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP12,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,1,3
SP13,MATT PACKARD,skipped,skipped,1,3
SP14,MATT PACKARD,skipped,skipped,1,3
SP15,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,1,3
SP16,MATT PACKARD,skipped,skipped,1,3
SP17,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,1,3
SP18,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP19,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
SP20,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
SP21,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP22,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,1,3
SP23,MATT PACKARD,skipped,skipped,1,3
SP24,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
SP25,MATT PACKARD,skipped,skipped,1,3
SP26,RYAN MILLER,skipped,skipped,1,3
SP27,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,1,3
SP28,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,1,3
SP29,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,1,3
SP30,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
SP31,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,1,3
