Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
LE43,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE44,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE45,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE46,MICHELLE MILES,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE47,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,2,9
LE48,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,skipped,skipped,skipped,2,9
LE49,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE50,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE51,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,2,9
LE52,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE53,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE54,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE55,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,LORI MCINTOSH LE,2,9
LE56,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,2,9
LE57,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE58,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE59,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE60,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,2,9
LE61,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE62,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,skipped,skipped,skipped,skipped,2,9
LE63,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,2,9
LE64,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE65,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE66,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE67,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE68,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE69,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE70,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE71,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE72,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE73,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE74,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE75,NICOLE KUNZE,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE76,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,2,9
LE77,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE78,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,2,9
LE79,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,2,9
LE81,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE82,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,2,9
LE83,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE84,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE85,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,2,9
LE86,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE87,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,2,9
LE88,NICOLE KUNZE,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE89,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,2,9
LE90,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,2,9
LE91,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,2,9
LE92,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,MONTANE C HAMILTON,MICHELLE MILES,2,9
LE93,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE94,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CHRIS CONDIE,2,9
LE95,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE96,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,2,9
LE97,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE98,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,2,9
LE99,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE100,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,2,9
LE101,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE102,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,2,9
LE103,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE104,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,2,9
LE105,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,2,9
LE106,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE107,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE108,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE109,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE110,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,2,9
LE111,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE112,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE113,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE114,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE115,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE116,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE117,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE118,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE119,AARON BULLEN,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE120,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE121,AARON BULLEN,LORI MCINTOSH LE,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE122,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,skipped,2,9
LE123,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE124,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE125,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,2,9
LE126,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE127,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE128,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE129,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE130,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE131,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,CHRIS CONDIE,2,9
LE132,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,2,9
LE133,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE134,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,2,9
LE135,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE136,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE137,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE138,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE139,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE140,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE141,MICHELLE MILES,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE142,AARON BULLEN,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE143,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE144,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE145,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,2,9
LE146,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,skipped,skipped,2,9
