Index,rank1,rank2,rank3,numSeats,numCands
VI42,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI43,JULIE FULLMER,skipped,skipped,1,3
VI44,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI45,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI46,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI47,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI48,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI49,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI50,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI51,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI52,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI53,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI54,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI55,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI56,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI57,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI58,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI59,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI60,JULIE FULLMER,skipped,skipped,1,3
VI61,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI62,MARIA GUADALUPE CANE,skipped,skipped,1,3
VI63,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI64,JULIE FULLMER,skipped,skipped,1,3
VI65,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI66,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI67,MARIA GUADALUPE CANE,skipped,skipped,1,3
VI68,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI69,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI70,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI71,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI72,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI73,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI74,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI75,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI76,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI77,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI78,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI79,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI80,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI81,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI82,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI83,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI84,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI85,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI86,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
