Index,rank1,rank2,rank3,rank4,numSeats,numCands
WH01,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH02,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH03,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH04,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,2,4
WH05,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH07,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,skipped,2,4
WH08,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH09,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH10,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH11,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,skipped,2,4
WH13,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,skipped,2,4
WH14,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH15,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH16,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH17,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH18,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH19,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH20,JANET LUNT,skipped,skipped,skipped,2,4
WH21,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH22,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH23,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH24,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH25,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,skipped,2,4
WH26,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH27,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH28,CODY CHAMBERLAIN,TOBY M. HARDING,skipped,skipped,2,4
WH29,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH30,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH31,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH32,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH33,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH34,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH35,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH36,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH37,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH38,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH39,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH40,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH41,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH42,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH43,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH44,JANET LUNT,skipped,skipped,skipped,2,4
WH45,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH46,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH47,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH48,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH49,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH50,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH51,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH52,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH53,TOBY M. HARDING,JANET LUNT,skipped,skipped,2,4
WH54,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH55,JANET LUNT,skipped,skipped,skipped,2,4
WH56,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,2,4
WH57,JANET LUNT,skipped,skipped,skipped,2,4
WH58,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH59,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH60,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH61,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH62,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH63,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH64,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH65,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH66,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH67,TOBY M. HARDING,JANET LUNT,skipped,skipped,2,4
WH68,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH69,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH70,CODY CHAMBERLAIN,skipped,skipped,skipped,2,4
WH71,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH72,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,skipped,2,4
WH73,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH74,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH75,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH76,CODY CHAMBERLAIN,skipped,skipped,skipped,2,4
WH77,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH78,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH79,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH80,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH81,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH82,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH83,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH84,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH85,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH86,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH87,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,2,4
WH88,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,2,4
WH89,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH90,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,2,4
WH91,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH92,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH93,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH94,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH95,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,skipped,2,4
WH96,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
