rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,Num cands,Num seats
"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,10,6
"Walser, Nancy","McGovern, Marc C.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,10,6
"Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Schuster, Luc","Lummis, Ben",skipped,skipped,10,6
"Fantini, Alfred B.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,10,6
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,10,6
"Nolan, Patricia M.","Walser, Nancy","McGovern, Marc C.","Schuster, Luc","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,10,6
"Fantini, Alfred B.","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,10,6
"McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Nolan, Patricia M.","Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.",skipped,10,6
"Lummis, Ben","Harding, Richard, Jr.","Nolan, Patricia M.","McGovern, Marc C.","Fantini, Alfred B.","Walser, Nancy",skipped,skipped,10,6
"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,10,6
"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,10,6
"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,10,6
"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,10,6
"Harding, Richard, Jr.","Walser, Nancy","Schuster, Luc","Fantini, Alfred B.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Grassi, Joseph G.",10,6
"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,10,6
"McGovern, Marc C.","Nolan, Patricia M.","Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,10,6
"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped,10,6
"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,10,6
"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,10,6
"Fantini, Alfred B.","Grassi, Joseph G.","Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped,skipped,10,6
