rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,Num cands,Num seats
"Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Davis, Henrietta","Simmons, Denise","King, Ethridge A.","Toomey, Timothy J., Jr.","Murphy, Brian","Pitkin, John","Hall, Robert L.","Galluccio, Anthony D.","Dixon, Vincent Lawrence","Condit, James E., III","Williamson, James M.","Sullivan, Michael A.","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","Maher, David P.","Peixoto, Helder","Decker, Marjorie C.","Reeves, Kenneth E.",20,9
"Davis, Henrietta","Simmons, Denise","King, Ethridge A.","Peixoto, Helder","Murphy, Brian","Hall, Robert L.","Condit, James E., III","Maher, David P.","Jens, Steven E.","Horowitz, Jacob","Iskovitz, Steve","Dixon, Vincent Lawrence","Williamson, James M.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Galluccio, Anthony D.","Pitkin, John","Decker, Marjorie C.",20,9
"Murphy, Brian","Jens, Steven E.","King, Ethridge A.","Iskovitz, Steve","Peixoto, Helder","Pitkin, John","Simmons, Denise","Williamson, James M.","Condit, James E., III","Dixon, Vincent Lawrence","Hall, Robert L.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Hall, Robert L.","Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Iskovitz, Steve","Pitkin, John","Simmons, Denise","Williamson, James M.","Condit, James E., III","Dixon, Vincent Lawrence","Horowitz, Jacob","Jens, Steven E.",skipped,skipped,20,9
"Decker, Marjorie C.","Simmons, Denise","Davis, Henrietta","Murphy, Brian","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Sullivan, Michael A.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Decker, Marjorie C.","Davis, Henrietta","Williamson, James M.","Simmons, Denise","Maher, David P.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Maher, David P.","Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Williamson, James M.","Condit, James E., III","Dixon, Vincent Lawrence","Hall, Robert L.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Sullivan, Michael A.","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Galluccio, Anthony D.","Pitkin, John","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
"Murphy, Brian","Pitkin, John","Decker, Marjorie C.","Simmons, Denise","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Horowitz, Jacob","King, Ethridge A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,20,9
