rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,Num cands,Num seats
"Simmons, E. Denise","Davis, Henrietta","Maher, David P.","Reeves, Kenneth E.","Decker, Marjorie C.","Nelson, Matthew P.","Seidel, Sam","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Kelley, Craig A.","Cheung, Leland","Decker, Marjorie C.","Mello, Gary W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Seidel, Sam","Maher, David P.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Seidel, Sam","Maher, David P.","Nelson, Matthew P.","Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Reeves, Kenneth E.","Nelson, Matthew P.","Cheung, Leland","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Marquardt, Charles J.","Kelley, Craig A.","Maher, David P.","Davis, Henrietta","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Kelley, Craig A.","Davis, Henrietta","Simmons, E. Denise","Pascual, Jamake","Nelson, Matthew P.","Moree, Gregg J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Moree, Gregg J.","Maher, David P.","Seidel, Sam","Ward, Larry W.","Toomey, Jr., Timothy J.","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Cheung, Leland","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Simmons, E. Denise","Marquardt, Charles J.","Nelson, Matthew P.","Kelley, Craig A.","Williamson, James M.","Mello, Gary W.","Pascual, Jamake",19,9
"Ward, Larry W.","Seidel, Sam","Maher, David P.","vanBeuzekom, Minka Y.","Simmons, E. Denise","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Simmons, E. Denise","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Seidel, Sam","Decker, Marjorie C.","Ward, Larry W.","Williamson, James M.","Nelson, Matthew P.","Cheung, Leland","Simmons, E. Denise","Davis, Henrietta","Toomey, Jr., Timothy J.","Maher, David P.","Kelley, Craig A.","Marquardt, Charles J.","Mello, Gary W.","Pascual, Jamake","Moree, Gregg J.","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.",19,9
"Stohlman, Jr., Thomas J.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","vanBeuzekom, Minka Y.","Marquardt, Charles J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.","Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"vanBeuzekom, Minka Y.","Cheung, Leland","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"vanBeuzekom, Minka Y.","Maher, David P.","Davis, Henrietta","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Decker, Marjorie C.","Simmons, E. Denise","Mello, Gary W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Maher, David P.","Kelley, Craig A.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Decker, Marjorie C.","vanBeuzekom, Minka Y.","Mello, Gary W.","Cheung, Leland","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Marquardt, Charles J.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Reeves, Kenneth E.","Seidel, Sam","Ward, Larry W.","vanBeuzekom, Minka Y.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Maher, David P.","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","Cheung, Leland","Davis, Henrietta","Seidel, Sam","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Decker, Marjorie C.","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Marquardt, Charles J.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Seidel, Sam","Davis, Henrietta","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Cheung, Leland","Decker, Marjorie C.","Maher, David P.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Decker, Marjorie C.","Cheung, Leland","Toomey, Jr., Timothy J.","Kelley, Craig A.","Maher, David P.","Seidel, Sam","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Decker, Marjorie C.","Nelson, Matthew P.","Simmons, E. Denise","Reeves, Kenneth E.","Williamson, James M.","vanBeuzekom, Minka Y.","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Reeves, Kenneth E.","Cheung, Leland","Nelson, Matthew P.","Decker, Marjorie C.","Simmons, E. Denise","Davis, Henrietta","Toomey, Jr., Timothy J.","Maher, David P.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Kelley, Craig A.","Maher, David P.","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Cheung, Leland","vanBeuzekom, Minka Y.","Toomey, Jr., Timothy J.","Nelson, Matthew P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Kelley, Craig A.","Maher, David P.","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Cheung, Leland","vanBeuzekom, Minka Y.","Nelson, Matthew P.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Marquardt, Charles J.","Cheung, Leland","Seidel, Sam","Maher, David P.","Kelley, Craig A.","Simmons, E. Denise","Reeves, Kenneth E.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Davis, Henrietta","vanBeuzekom, Minka Y.","Decker, Marjorie C.","Kelley, Craig A.","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Cheung, Leland","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Seidel, Sam","Maher, David P.","Ward, Larry W.","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Maher, David P.","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Davis, Henrietta","Seidel, Sam","Maher, David P.","Reeves, Kenneth E.","Simmons, E. Denise","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Mello, Gary W.","Reeves, Kenneth E.","vanBeuzekom, Minka Y.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Simmons, E. Denise","Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Seidel, Sam","Maher, David P.","Davis, Henrietta","Cheung, Leland","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Simmons, E. Denise","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Ward, Larry W.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Reeves, Kenneth E.","Kelley, Craig A.","Decker, Marjorie C.","Cheung, Leland","Simmons, E. Denise","Maher, David P.","Seidel, Sam","Toomey, Jr., Timothy J.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Pascual, Jamake","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Davis, Henrietta","Stohlman, Jr., Thomas J.","Marquardt, Charles J.","vanBeuzekom, Minka Y.","Cheung, Leland","Seidel, Sam","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Toomey, Jr., Timothy J.","Kelley, Craig A.","Stohlman, Jr., Thomas J.","Ward, Larry W.","Williamson, James M.","Moree, Gregg J.","Mello, Gary W.","Marquardt, Charles J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Toomey, Jr., Timothy J.","Kelley, Craig A.","Stohlman, Jr., Thomas J.","Ward, Larry W.","Williamson, James M.","Moree, Gregg J.","Mello, Gary W.","Marquardt, Charles J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Davis, Henrietta","Reeves, Kenneth E.","vanBeuzekom, Minka Y.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Simmons, E. Denise","vanBeuzekom, Minka Y.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Decker, Marjorie C.","Davis, Henrietta","Kelley, Craig A.","Simmons, E. Denise","Reeves, Kenneth E.","Cheung, Leland","Maher, David P.","Ward, Larry W.","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Davis, Henrietta","Reeves, Kenneth E.","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Kelley, Craig A.","Decker, Marjorie C.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
"Cheung, Leland","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Marquardt, Charles J.","Kelley, Craig A.","Williamson, James M.","Ward, Larry W.","Toomey, Jr., Timothy J.","Seidel, Sam","Pascual, Jamake","Nelson, Matthew P.",skipped,skipped,skipped,skipped,19,9
"Decker, Marjorie C.","Davis, Henrietta","Cheung, Leland","Kelley, Craig A.","Seidel, Sam","Stohlman, Jr., Thomas J.","Ward, Larry W.","Simmons, E. Denise","Reeves, Kenneth E.","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,19,9
