,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,24687,Formal,MP,KRIEG Steve,skipped,skipped,skipped,skipped,skipped,1,6
1,Enrolment/NAMAV,Enrolment/NAMAV,24790,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
2,Enrolment/NAMAV,Enrolment/NAMAV,24791,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
3,Enrolment/NAMAV,Enrolment/NAMAV,24792,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,KRIEG Steve,HEALEY Patrick,skipped,1,6
4,Enrolment/NAMAV,Enrolment/NAMAV,24793,Formal,MP,COOK Darlene,KRIEG Steve,GRINDON-EKINS Vanessa,skipped,skipped,skipped,1,6
5,Enrolment/NAMAV,Enrolment/NAMAV,24794,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
6,Enrolment/NAMAV,Enrolment/NAMAV,24795,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
7,Enrolment/NAMAV,Enrolment/NAMAV,24796,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
8,Enrolment/NAMAV,Enrolment/NAMAV,24797,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
9,Enrolment/NAMAV,Enrolment/NAMAV,24798,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
10,Enrolment/NAMAV,Enrolment/NAMAV,24799,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,KRIEG Steve,skipped,skipped,skipped,1,6
11,Enrolment/NAMAV,Enrolment/NAMAV,24800,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
12,Enrolment/NAMAV,Enrolment/NAMAV,24801,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
13,Enrolment/NAMAV,Enrolment/NAMAV,24802,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,skipped,skipped,skipped,skipped,1,6
14,Enrolment/NAMAV,Enrolment/NAMAV,24803,Formal,MP,COOK Darlene,BIRD Elly,ROB Big,KRIEG Steve,GRINDON-EKINS Vanessa,HEALEY Patrick,1,6
15,Enrolment/NAMAV,Enrolment/NAMAV,24804,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,skipped,skipped,skipped,1,6
16,Enrolment/NAMAV,Enrolment/NAMAV,24805,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
17,Enrolment/NAMAV,Enrolment/NAMAV,24806,Formal,MP,COOK Darlene,HEALEY Patrick,skipped,skipped,skipped,skipped,1,6
18,Enrolment/NAMAV,Enrolment/NAMAV,24807,Formal,MP,COOK Darlene,HEALEY Patrick,KRIEG Steve,BIRD Elly,GRINDON-EKINS Vanessa,ROB Big,1,6
19,Enrolment/NAMAV,Enrolment/NAMAV,24808,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
20,Enrolment/NAMAV,Enrolment/NAMAV,24809,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,HEALEY Patrick,ROB Big,BIRD Elly,KRIEG Steve,1,6
21,Enrolment/NAMAV,Enrolment/NAMAV,24810,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,skipped,skipped,skipped,1,6
22,Enrolment/NAMAV,Enrolment/NAMAV,24811,Formal,MP,COOK Darlene,GRINDON-EKINS Vanessa,BIRD Elly,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
23,Enrolment/NAMAV,Enrolment/NAMAV,24812,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
24,Enrolment/NAMAV,Enrolment/NAMAV,24813,Formal,MP,COOK Darlene,BIRD Elly,skipped,skipped,skipped,skipped,1,6
25,Enrolment/NAMAV,Enrolment/NAMAV,24814,Formal,MP,COOK Darlene,skipped,skipped,skipped,skipped,skipped,1,6
26,Enrolment/NAMAV,Enrolment/NAMAV,24815,Formal,MP,COOK Darlene,BIRD Elly,GRINDON-EKINS Vanessa,HEALEY Patrick,KRIEG Steve,ROB Big,1,6
