,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Enrolment/NAMAV,Enrolment/NAMAV,24569,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
1,Enrolment/NAMAV,Enrolment/NAMAV,24570,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
2,Enrolment/NAMAV,Enrolment/NAMAV,24571,Formal,MP,HATCHER Mat,SMITH Gary,skipped,skipped,skipped,skipped,skipped,1,7
3,Enrolment/NAMAV,Enrolment/NAMAV,24572,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
4,Enrolment/NAMAV,Enrolment/NAMAV,24573,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
5,Enrolment/NAMAV,Enrolment/NAMAV,24574,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped,1,7
6,Enrolment/NAMAV,Enrolment/NAMAV,24575,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
7,Enrolment/NAMAV,Enrolment/NAMAV,24576,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
8,Enrolment/NAMAV,Enrolment/NAMAV,24577,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
9,Enrolment/NAMAV,Enrolment/NAMAV,24578,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
10,Enrolment/NAMAV,Enrolment/NAMAV,24579,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
11,Enrolment/NAMAV,Enrolment/NAMAV,24580,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
12,Enrolment/NAMAV,Enrolment/NAMAV,24581,Formal,MP,HATCHER Mat,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped,1,7
13,Enrolment/NAMAV,Enrolment/NAMAV,24582,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
14,Enrolment/NAMAV,Enrolment/NAMAV,24583,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
15,Enrolment/NAMAV,Enrolment/NAMAV,24584,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
16,Enrolment/NAMAV,Enrolment/NAMAV,24585,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
17,Enrolment/NAMAV,Enrolment/NAMAV,24586,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
18,Enrolment/NAMAV,Enrolment/NAMAV,24587,Formal,MP,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,1,7
19,Enrolment/NAMAV,Enrolment/NAMAV,24588,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped,1,7
20,Enrolment/NAMAV,Enrolment/NAMAV,24589,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
21,Enrolment/NAMAV,Enrolment/NAMAV,24590,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
22,Enrolment/NAMAV,Enrolment/NAMAV,24591,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,1,7
23,Enrolment/NAMAV,Enrolment/NAMAV,24592,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
24,Enrolment/NAMAV,Enrolment/NAMAV,24593,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
25,Enrolment/NAMAV,Enrolment/NAMAV,24594,Formal,MP,HATCHER Mat,SMITH Gary,skipped,skipped,skipped,skipped,skipped,1,7
26,Enrolment/NAMAV,Enrolment/NAMAV,24595,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
27,Enrolment/NAMAV,Enrolment/NAMAV,24596,Formal,MP,HATCHER Mat,STARMER Karyn,HARRISON N (Tubby),skipped,skipped,skipped,skipped,1,7
28,Enrolment/NAMAV,Enrolment/NAMAV,24597,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
29,Enrolment/NAMAV,Enrolment/NAMAV,24598,Formal,MP,HATCHER Mat,WORTHINGTON Alison,GRACE David,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,1,7
30,Enrolment/NAMAV,Enrolment/NAMAV,24599,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
31,Enrolment/NAMAV,Enrolment/NAMAV,24600,Formal,MP,HATCHER Mat,WORTHINGTON Alison,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),POLLOCK Rob,1,7
32,Enrolment/NAMAV,Enrolment/NAMAV,24601,Formal,MP,HATCHER Mat,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped,1,7
33,Enrolment/NAMAV,Enrolment/NAMAV,24602,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
34,Enrolment/NAMAV,Enrolment/NAMAV,24603,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
35,Enrolment/NAMAV,Enrolment/NAMAV,24604,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
36,Enrolment/NAMAV,Enrolment/NAMAV,24605,Formal,MP,HATCHER Mat,WORTHINGTON Alison,GRACE David,STARMER Karyn,HARRISON N (Tubby),SMITH Gary,POLLOCK Rob,1,7
37,Enrolment/NAMAV,Enrolment/NAMAV,24606,Formal,MP,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,1,7
38,Enrolment/NAMAV,Enrolment/NAMAV,24607,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped,1,7
39,Enrolment/NAMAV,Enrolment/NAMAV,24608,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped,1,7
40,Enrolment/NAMAV,Enrolment/NAMAV,24609,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
41,Enrolment/NAMAV,Enrolment/NAMAV,24610,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
42,Enrolment/NAMAV,Enrolment/NAMAV,24611,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
43,Enrolment/NAMAV,Enrolment/NAMAV,24612,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
44,Enrolment/NAMAV,Enrolment/NAMAV,24613,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
45,Enrolment/NAMAV,Enrolment/NAMAV,24614,Formal,MP,HATCHER Mat,STARMER Karyn,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison,GRACE David,1,7
46,Enrolment/NAMAV,Enrolment/NAMAV,24615,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
47,Enrolment/NAMAV,Enrolment/NAMAV,24616,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
48,Enrolment/NAMAV,Enrolment/NAMAV,24617,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped,1,7
