ballotID,Precinct,Ballot Style,rank1,rank2,rank3,numSeats,numCands
800001,Portland,Unscanned,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",1,3
800002,Portland,Unscanned,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",1,3
800003,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,1,3
800004,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
800005,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,1,3
800006,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
800007,Portland,Unscanned,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",1,3
800008,Portland,Unscanned,"Zager, Samuel Lewis",skipped,skipped,1,3
800009,Portland,Unscanned,"Grant, Benjamin K.",skipped,skipped,1,3
800010,Portland,Unscanned,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",1,3
800011,Portland,Unscanned,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",1,3
800014,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
800015,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
800016,Portland,Unscanned,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
800017,Portland,Unscanned,"Zager, Samuel Lewis",skipped,skipped,1,3
800018,Portland,Unscanned,"Zager, Samuel Lewis",skipped,skipped,1,3
800019,Portland,Unscanned,"Zager, Samuel Lewis","Grant, Benjamin K.",skipped,1,3
800020,Portland,Unscanned,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
800021,Portland,Unscanned,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",1,3
800022,Portland,Unscanned,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
800023,UOCAVA,Unscanned,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",1,3
800050,496313,UOCAVA,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,1,3
800051,496317,UOCAVA,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",1,3
800052,496313,UOCAVA,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",1,3
800053,496317,UOCAVA,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",1,3
800054,496513,UOCAVA,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",1,3
800055,496313,UOCAVA,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",1,3
800056,496313,UOCAVA,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
800058,496317,UOCAVA,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",1,3
162604,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162607,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162612,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",1,3
162617,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,1,3
162623,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162634,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,1,3
162644,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Zager, Samuel Lewis","Grant, Benjamin K.",1,3
162645,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",1,3
162647,Portland All,DEM Ballot Style 210,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",1,3
162652,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
162653,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Davis, Laurie J.",skipped,1,3
162655,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
162656,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
162659,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.",skipped,skipped,1,3
162660,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,1,3
162662,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,1,3
162663,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162666,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",1,3
162669,Portland All,DEM Ballot Style 210,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",1,3
162670,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis",skipped,skipped,1,3
162672,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162684,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162685,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162688,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",1,3
162691,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162701,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
162707,Portland All,DEM Ballot Style 210,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",1,3
