rank1,rank2,rank3,rank4,numSeats,numCands
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,1,21
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,1,21
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,1,21
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,1,21
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,1,21
ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,skipped,1,21
ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,skipped,1,21
NICOLE M. LACHAPELLE,skipped,skipped,skipped,1,21
NICOLE M. LACHAPELLE,ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,1,21
KEITH M. ROUTHIER,ERIC K. BERZINS,skipped,skipped,1,21
KEITH M. ROUTHIER,ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
ERIC K. BERZINS,skipped,skipped,skipped,1,21
