,IRV,smith_irv,Borda_PM,Borda_OM,Borda_AVG,minimax,smith_minimax,ranked_pairs,plurality,condorcet_plurality,plurality_runoff,bucklin
LtoTop,5,1,10,13,12,1,1,1,17,1,4,1
truncBalAtL,0,4,16,0,5,4,4,4,0,3,0,18
truncBalAtW,0,2,16,0,7,5,5,6,0,1,0,18
buryWinBal,0,1,13,7,7,6,6,7,0,3,0,18
boostLinBal,0,1,19,19,19,1,1,1,0,1,0,19
