Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,Victoria E. Cambranes,Toba Potosky,April Somboun,Sabrina N. Gates,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,Toba Potosky,Ben Solotaire,Lincoln Restler,April Somboun,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Victoria E. Cambranes,Lincoln Restler,Stu Sherman,skipped,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Victoria E. Cambranes,Elizabeth E. Adams,April Somboun,Ben Solotaire,Lincoln Restler,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,skipped,skipped,skipped,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Lincoln Restler,Elizabeth E. Adams,Victoria E. Cambranes,Stu Sherman,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Sabrina N. Gates,April Somboun,Lincoln Restler,skipped,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,Lincoln Restler,Victoria E. Cambranes,Ben Solotaire,Stu Sherman,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,Victoria E. Cambranes,Ben Solotaire,Lincoln Restler,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Lincoln Restler,April Somboun,skipped,skipped,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,April Somboun,Lincoln Restler,Ben Solotaire,Sabrina N. Gates,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Stu Sherman,skipped,skipped,skipped,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Elizabeth E. Adams,April Somboun,Ben Solotaire,Sabrina N. Gates,skipped,1,9
AD: 52 ED: 028,DEM ABS Ballot Style 29,2021P3V1_ABS,Lincoln Restler,Stu Sherman,Victoria E. Cambranes,Sabrina N. Gates,Ben Solotaire,1,9
