Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 80 ED: 052,,2021P2V1_ABS,writein,skipped,skipped,1,3
AD: 79 ED: 002,,2021P2V1_ABS,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 80 ED: 060,,2021P2V1_ABS,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 80 ED: 047,,2021P2V1_ABS,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 80 ED: 047,,2021P2V1_ABS,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 80 ED: 047,,2021P2V1_ABS,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 071,,2021P2V1_ABS,writein,skipped,skipped,1,3
AD: 86 ED: 039,,2021P2V1_ABS,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 87 ED: 008,,2021P2V1_ABS,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 053,,2021P2V1_ABS,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ABS,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 015,,2021P2V1_ABS,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 061,,2021P2V1_ABS,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 071,,2021P2V1_ABS,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 80 ED: 060,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 80 ED: 063,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 80 ED: 060,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 041,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 041,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 041,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 040,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 78 ED: 041,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 007,,2021P2V1_ELE,writein,Ariel Rivera-Diaz,Aramis Ocasio,1,3
AD: 78 ED: 062,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 062,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 78 ED: 039,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 010,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 010,,2021P2V1_ELE,writein,Aramis Ocasio,Ariel Rivera-Diaz,1,3
AD: 78 ED: 010,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 061,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 061,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 061,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 061,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 80 ED: 052,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 80 ED: 052,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 070,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 006,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,writein,1,3
AD: 78 ED: 008,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 006,,2021P2V1_ELE,writein,Aramis Ocasio,Ariel Rivera-Diaz,1,3
AD: 78 ED: 070,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 070,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 027,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 015,,2021P2V1_ELE,Aramis Ocasio,writein,Ariel Rivera-Diaz,1,3
AD: 78 ED: 014,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 013,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 015,,2021P2V1_ELE,Aramis Ocasio,writein,Ariel Rivera-Diaz,1,3
AD: 78 ED: 071,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 025,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 016,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 016,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 016,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 016,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 78 ED: 016,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 79 ED: 001,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 79 ED: 001,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 069,,2021P2V1_ELE,writein,skipped,skipped,1,3
AD: 79 ED: 001,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 78 ED: 003,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 80 ED: 053,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 78 ED: 003,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 78 ED: 003,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 80 ED: 074,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 035,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 032,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Aramis Ocasio,skipped,skipped,1,3
AD: 86 ED: 064,,2021P2V1_ELE,Aramis Ocasio,Ariel Rivera-Diaz,skipped,1,3
AD: 80 ED: 050,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,writein,1,3
AD: 80 ED: 050,,2021P2V1_ELE,Ariel Rivera-Diaz,skipped,skipped,1,3
AD: 86 ED: 054,,2021P2V1_ELE,Ariel Rivera-Diaz,Aramis Ocasio,skipped,1,3
