Precinct,Ballot Style,source_file,rank1,rank2,rank3,numSeats,numCands
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,writein,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,skipped,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,writein,1,3
AD: 66 ED: 028,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,Carlina Rivera,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Erin Hussein,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,Erin Hussein,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
AD: 74 ED: 034,DEM ABS Ballot Style 5,2021P1V1_ABS,Carlina Rivera,skipped,skipped,1,3
