Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Alec Brook-Krasny,Joseph Packer,Ari Kagan,Steven D. Patzer,writein,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Joseph Packer,writein,skipped,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Joseph Packer,writein,skipped,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Steven D. Patzer,Joseph Packer,Ari Kagan,Alec Brook-Krasny,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Ari Kagan,Steven D. Patzer,skipped,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Ari Kagan,Alec Brook-Krasny,skipped,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Ari Kagan,Joseph Packer,Steven D. Patzer,Alec Brook-Krasny,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Ari Kagan,skipped,skipped,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Ari Kagan,Joseph Packer,Alec Brook-Krasny,Steven D. Patzer,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Steven D. Patzer,skipped,skipped,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Steven D. Patzer,Joseph Packer,Ari Kagan,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Steven D. Patzer,Ari Kagan,Joseph Packer,skipped,skipped,1,5
AD: 49 ED: 038,DEM ABS Ballot Style 21,2021P3V1_ABS,Steven D. Patzer,Ari Kagan,Alec Brook-Krasny,Joseph Packer,skipped,1,5
