Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 59 ED: 008,DEM ABS Ballot Style 3,2021P3V1_ABS,Mercedes Narcisse,Tiffany Pryor,Shirley S. Paul,Judy D. Newton,R. Dimple Willabus,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Tiffany Pryor,Shirley S. Paul,Mercedes Narcisse,Judy D. Newton,R. Dimple Willabus,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Shirley S. Paul,skipped,skipped,skipped,skipped,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Mercedes Narcisse,Gardy Brazela,Donald J. Cranston,Zuri S. Jackson,Tiffany Pryor,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Judy D. Newton,Shirley S. Paul,Tiffany Pryor,Zuri S. Jackson,skipped,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Shirley S. Paul,Donald J. Cranston,Tiffany Pryor,Gardy Brazela,Judy D. Newton,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Mercedes Narcisse,Shirley S. Paul,Tiffany Pryor,Judy D. Newton,Gardy Brazela,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Zuri S. Jackson,Shirley S. Paul,skipped,skipped,skipped,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Shirley S. Paul,Mercedes Narcisse,Tiffany Pryor,Zuri S. Jackson,Judy D. Newton,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Mercedes Narcisse,Shirley S. Paul,Gardy Brazela,Tiffany Pryor,Zuri S. Jackson,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,R. Dimple Willabus,Judy D. Newton,Tiffany Pryor,Gardy Brazela,Donald J. Cranston,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Mercedes Narcisse,Gardy Brazela,Donald J. Cranston,Zuri S. Jackson,Tiffany Pryor,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Donald J. Cranston,Judy D. Newton,Shirley S. Paul,Tiffany Pryor,Zuri S. Jackson,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Shirley S. Paul,skipped,skipped,skipped,skipped,1,9
AD: 41 ED: 038,DEM ABS Ballot Style 4,2021P3V1_ABS,Donald J. Cranston,Shirley S. Paul,Tiffany Pryor,R. Dimple Willabus,skipped,1,9
AD: 59 ED: 062,DEM ABS Ballot Style 3,2021P3V1_ABS,Shirley S. Paul,skipped,skipped,skipped,skipped,1,9
AD: 59 ED: 062,DEM ABS Ballot Style 3,2021P3V1_ABS,Shirley S. Paul,skipped,skipped,skipped,skipped,1,9
AD: 59 ED: 062,DEM ABS Ballot Style 3,2021P3V1_ABS,Gardy Brazela,R. Dimple Willabus,Mercedes Narcisse,skipped,skipped,1,9
AD: 59 ED: 062,DEM ABS Ballot Style 3,2021P3V1_ABS,Mercedes Narcisse,Shirley S. Paul,Judy D. Newton,Donald J. Cranston,R. Dimple Willabus,1,9
AD: 59 ED: 062,DEM ABS Ballot Style 3,2021P3V1_ABS,Donald J. Cranston,skipped,skipped,skipped,skipped,1,9
AD: 59 ED: 062,DEM ABS Ballot Style 3,2021P3V1_ABS,Gardy Brazela,Judy D. Newton,skipped,skipped,skipped,1,9
AD: 59 ED: 056,DEM ABS Ballot Style 3,2021P3V1_ABS,Shirley S. Paul,R. Dimple Willabus,skipped,skipped,skipped,1,9
AD: 59 ED: 056,DEM ABS Ballot Style 3,2021P3V1_ABS,Mercedes Narcisse,skipped,skipped,skipped,skipped,1,9
AD: 59 ED: 056,DEM ABS Ballot Style 3,2021P3V1_ABS,Mercedes Narcisse,skipped,skipped,skipped,skipped,1,9
AD: 59 ED: 056,DEM ABS Ballot Style 3,2021P3V1_ABS,Mercedes Narcisse,Zuri S. Jackson,Shirley S. Paul,Tiffany Pryor,Judy D. Newton,1,9
