Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 55 ED: 098,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,writein,1,5
AD: 55 ED: 098,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 55 ED: 098,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,Charles Barron,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,Charles Barron,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,writein,Charles Barron,Nikki Lucas,skipped,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 075,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Charles Barron,skipped,skipped,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,Charles Barron,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Gena M. Watson,Wilfredo Florentino,Nikki Lucas,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,skipped,1,5
AD: 55 ED: 062,DEM ABS Ballot Style 46,2021P3V1_ABS,writein,Gena M. Watson,skipped,skipped,skipped,1,5
AD: 54 ED: 075,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 54 ED: 075,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 54 ED: 075,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 54 ED: 075,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 54 ED: 001,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 54 ED: 005,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 54 ED: 005,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 013,DEM ABS Ballot Style 39,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,skipped,1,5
AD: 55 ED: 013,DEM ABS Ballot Style 39,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Gena M. Watson,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Charles Barron,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 55 ED: 099,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,Charles Barron,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,Charles Barron,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 55 ED: 063,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 55 ED: 052,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 55 ED: 052,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,skipped,skipped,1,5
AD: 55 ED: 052,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 55 ED: 052,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Gena M. Watson,skipped,skipped,skipped,1,5
AD: 55 ED: 052,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Gena M. Watson,Wilfredo Florentino,Nikki Lucas,writein,1,5
AD: 55 ED: 052,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,skipped,skipped,1,5
