Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Tahirah A. Moore,Henry L. Butler,Robert Waterman,Reginald Swiney,Chi A. Osse,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Henry L. Butler,skipped,skipped,skipped,skipped,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Chi A. Osse,skipped,skipped,skipped,skipped,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Henry L. Butler,Tahirah A. Moore,Robert Waterman,Reginald Swiney,Chi A. Osse,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Chi A. Osse,Tahirah A. Moore,skipped,skipped,skipped,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Henry L. Butler,Reginald Swiney,Chi A. Osse,Tahirah A. Moore,Robert Waterman,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Chi A. Osse,Robert Waterman,skipped,skipped,skipped,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Robert Waterman,Henry L. Butler,skipped,skipped,skipped,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Tahirah A. Moore,Reginald Swiney,skipped,skipped,skipped,1,6
AD: 43 ED: 087,DEM ABS Ballot Style 10,2021P3V1_ABS,Chi A. Osse,skipped,skipped,skipped,skipped,1,6
AD: 43 ED: 046,DEM ABS Ballot Style 10,2021P3V1_ABS,Henry L. Butler,Tahirah A. Moore,skipped,skipped,skipped,1,6
AD: 43 ED: 046,DEM ABS Ballot Style 10,2021P3V1_ABS,Tahirah A. Moore,Reginald Swiney,skipped,skipped,skipped,1,6
AD: 43 ED: 046,DEM ABS Ballot Style 10,2021P3V1_ABS,Robert Waterman,Henry L. Butler,Tahirah A. Moore,Reginald Swiney,Chi A. Osse,1,6
